csv_row,excel_name,notion_name,institution_code,action,coded_page_name,coded_old_address,csv_updated_address,target_city,target_district,duplicate_name,duplicate_address,duplicate_name_score,duplicate_address_score,page_id,duplicate_page_id
3,優瑞牙醫診所,瑞誠牙醫診所,3701027235,matched_page_already_current,瑞誠牙醫診所,臺北市大安區安和路1段69號,臺北市大安區安和路1段69號,臺北市,大安區,,,,,335dcdaa-fb2a-8186-9a99-dd11cc3d01be,
5,釉質技工所,釉質牙體技術所,2Y01190101,matched_page_already_current,釉質牙體技術所,臺北市萬華區漢口街二段73號11-5,臺北市萬華區漢口街二段73號11-5,臺北市,萬華區,,,,,335dcdaa-fb2a-81ee-b719-dcca6c795a75,
11,嘉鈺技工所,嘉鈺牙體技術所,2Y34010083,matched_page_already_current,嘉鈺牙體技術所,宜蘭縣宜蘭市泰山路民族二巷12-2號,宜蘭縣宜蘭市泰山路民族二巷12-2號,宜蘭縣,宜蘭市,,,,,335dcdaa-fb2a-817a-9b63-fb2ad50d0b3a,
12,順源牙科,順源牙醫診所,3734040033,matched_page_already_current,順源牙醫診所,宜蘭縣頭城鎮頂埔路2段191號,宜蘭縣頭城鎮頂埔路2段191號,宜蘭縣,頭城鎮,,,,,335dcdaa-fb2a-8144-8800-e46926a4d6d8,
13,喜美牙醫診所,喜美牙醫診所,3734040042,matched_page_already_current,喜美牙醫診所,宜蘭縣頭城鎮開蘭路85號之4,宜蘭縣頭城鎮開蘭路85號之4,宜蘭縣,頭城鎮,,,,,335dcdaa-fb2a-81ea-9f77-f4105383ee73,
15,順益技工所,順益牙體技術所,2Y34070016,matched_page_already_current,順益牙體技術所,宜蘭縣員山鄉員山路1段234號,宜蘭縣員山鄉員山路1段234號,宜蘭縣,員山鄉,,,,,335dcdaa-fb2a-8185-b1ff-ea946c0cec3e,
16,維盟技工所-已歇業,維盟牙體技術所,2Y34100019,matched_page_already_current,維盟牙體技術所,宜蘭縣三星鄉上將路2段320號,宜蘭縣三星鄉上將路2段320號,宜蘭縣,三星鄉,,,,,335dcdaa-fb2a-81c7-b838-d82eab1e21ff,
18,宏祥技工所,宏祥技工所,,matched_page_already_current,宏祥技工所,臺北市大同區酒泉街68號4樓之1,臺北市大同區酒泉街68號4樓之1,臺北市,大同區,,,,,396dcdaa-fb2a-8036-853f-d5906c93d5f3,
20,龍安技工所(臺北),龍安牙體技術所,,matched_page_already_current,龍安牙體技術所,臺北市中山區龍江路209巷9-3號4樓,臺北市中山區龍江路209巷9-3號4樓,臺北市,中山區,,,,,336dcdaa-fb2a-8151-86da-d133fc7031e7,
21,柏創技工所,柏創牙體技術所,2Y31060063,matched_page_already_current,柏創牙體技術所,新北市新莊區思源路50號,新北市新莊區思源路50號,新北市,新莊區,,,,,335dcdaa-fb2a-8140-9010-d0581531258f,
22,真承技工所,真承牙體技術所,2Y31060438,matched_page_already_current,真承牙體技術所,新北市新莊區西盛街344巷22弄12號6樓,新北市新莊區西盛街344巷22弄12號6樓,新北市,新莊區,,,,,335dcdaa-fb2a-81d0-9b8d-e4c3b2cc9a76,
24,永生技工所(胡先生),永生牙體技術所,2Y01180034,matched_page_already_current,永生牙體技術所,臺北市中正區汀洲路3段27巷33號1樓,臺北市中正區汀洲路3段27巷33號1樓,臺北市,中正區,,,,,335dcdaa-fb2a-81ab-baa4-c8ac16b3add7,
25,喜樂牙醫診所,喜樂新生牙醫診所,3701184048,matched_page_already_current,喜樂新生牙醫診所,臺北市中正區新生南路一段50-1號2樓,臺北市中正區新生南路一段50-1號2樓,臺北市,中正區,,,,,335dcdaa-fb2a-81a4-8924-d22cd80ea512,
