csv_row,excel_name,updated_address,decision,score,name_score,address_score,notion_name,notion_address,notion_city,notion_district,second_name,second_score
"3","優瑞牙醫診所","臺北市大安區安和路1段69號","skip","0.636","0.500","0.550","瑞誠牙醫診所","臺北市大安區安和路1段106號2樓","臺北市","大安區","優格牙體技術所","0.460"
"4","敦南牙醫診所(仁愛路)","臺北市大安區仁愛路4段4號3樓","skip","0.649","0.308","1.000","敦南牙醫聯合診所","臺北市大安區仁愛路4段4號3樓","臺北市","大安區","仁愛心悅牙醫診所","0.598"
"5","釉質技工所","臺北市萬華區漢口街二段73號11-5","safe","0.976","1.000","0.550","釉質牙體技術所","臺北市萬華區漢口街2段73號11樓之5","臺北市","萬華區","本質牙醫診所","0.420"
"7","永豐技工所(吳先生)","臺北市南港區東新街108巷24號1樓","skip","0.675","0.817","0.000","永豐牙體技術所","臺北市南港區福德街309巷19號1樓","臺北市","南港區","永豐牙體技術所","0.635"
"8","邁思特科技有限公司","新北市中和區中山路2段351號5樓之13","skip","0.440","0.000","1.000","歐登牙體技術所","新北市中和區中山路2段351號5樓之13","新北市","中和區","貝爾登科技有限公司","0.392"
"10","新生技工所","宜蘭縣宜蘭市新生里大福路2段168號","skip","0.460","0.500","0.000","新銳牙體技術所","宜蘭縣宜蘭市大福路1段105巷1號","宜蘭縣","宜蘭市","育生牙醫診所","0.420"
"11","嘉鈺技工所","宜蘭縣宜蘭市泰山路民族二巷12-2號","safe","0.976","1.000","0.550","嘉鈺牙體技術所","宜蘭縣宜蘭市泰山路民族2巷12-2號1樓","宜蘭縣","宜蘭市","嘉心牙醫診所","0.420"
"12","順源牙科","宜蘭縣頭城鎮頂埔路2段191號","skip","0.562","0.650","0.000","順源牙醫診所","宜蘭縣頭城鎮青雲路二段352號1-3樓","宜蘭縣","頭城鎮","祐安牙科材料行","0.327"
"13","喜美牙醫診所","宜蘭縣頭城鎮開蘭路85號之4","safe","0.800","1.000","0.000","喜美牙醫診所","宜蘭縣頭城鎮協天路556巷36號3樓","宜蘭縣","頭城鎮","微美牙體技術所","0.420"
"15","順益技工所","宜蘭縣員山鄉員山路1段234號","safe","1.094","1.000","0.920","順益牙體技術所","宜蘭縣員山鄉員山路一段234號2樓","宜蘭縣","員山鄉","順泰牙醫診所","0.420"
"16","維盟技工所-已歇業","宜蘭縣三星鄉上將路2段320號","safe","0.976","1.000","0.550","維盟牙體技術所","宜蘭縣三星鄉上將路二段326號","宜蘭縣","三星鄉","周坤維先生","0.352"
"18","宏祥技工所","臺北市大同區酒泉街68號4樓之1","safe","1.120","1.000","1.000","宏祥技工所","臺北市大同區酒泉街68號4樓之1","臺北市","大同區","宏嘉牙醫診所","0.460"
"19","龍興牙體技術所","臺北市中山區復興北路514巷67號5樓","skip","0.460","0.500","0.000","龍安牙體技術所","臺北市中山區龍江路209巷9-3號4樓","臺北市","中山區","龍安牙體技術所","0.460"
"20","龍安技工所(臺北)","臺北市中山區龍江路209巷9-3號4樓","safe","0.882","0.650","1.000","龍安牙體技術所","臺北市中山區龍江路209巷9-3號4樓","臺北市","中山區","龍安牙体技術所","0.780"
"21","柏創技工所","新北市新莊區思源路50號","safe","1.094","1.000","0.920","柏創牙體技術所","新北市新莊區思源路50號2樓","新北市","新莊區","柏創數位牙體技術所","0.856"
"22","真承技工所","新北市新莊區西盛街344巷22弄12號6樓","safe","0.800","1.000","0.000","真承牙體技術所","新北市新莊區民安西路140巷17號1樓","新北市","新莊區","承心牙醫診所","0.460"
"23","順成技工所","新北市泰山區泰林路二段348號","skip","0.420","0.500","0.000","詠順牙體技術所","新北市永和區福和路309巷14弄7號5樓","新北市","永和區","順合牙體技術所","0.420"
"24","永生技工所(胡先生)","臺北市中正區汀洲路3段27巷33號1樓","skip","0.675","0.817","0.000","永生牙體技術所","臺北市中正區汀州路三段27巷33號","臺北市","中正區","劉永生牙醫診所","0.573"
"25","喜樂牙醫診所","臺北市中正區新生南路一段50-1號2樓","review","0.738","0.650","0.550","喜樂新生牙醫診所","臺北市中正區新生南路1段50之1號2樓、50之2號2樓","臺北市","中正區","喜樂芽牙醫診所","0.635"
"26","年展技工所","臺北市文山區羅斯福路6段182號2樓","safe","0.976","1.000","0.550","年展牙體技術所","臺北市文山區羅斯福路六段182號(實際營業地址：2樓)","臺北市","文山區","大展牙體技術所","0.460"
"27","立新牙體技術所","臺北市文山區久康街95號1樓","safe","0.800","1.000","0.000","立新牙體技術所","臺北市文山區木柵路2段26號2樓","臺北市","文山區","維新牙醫診所","0.460"
"28","廖啟鈞","基隆市中正區豐稔街100巷32號8樓","skip","0.307","0.333","0.000","滕啟民醫師","基隆市仁愛區愛四路3-3號2樓","基隆市","仁愛區","啟鈞牙體技術所","0.255"
"29","尚豐技工所","新北市新店區安康路3段和成街15巷2號1樓","safe","1.120","1.000","1.000","尚豐牙體技術所","新北市新店區安康路3段和成街15巷2號1樓","新北市","新店區","豐田牙醫診所","0.460"
"30","和昇技工所","新北市新店區安祥路104巷49號","skip","0.460","0.500","0.000","康和牙醫診所","新北市新店區安和路三段１５３號","新北市","新店區","揚昇牙體技術所","0.420"
"31","周清泉","新北市新店區大同里二十張路3-4號","skip","0.392","0.400","0.000","盈泉牙體技術所","新北市新店區新生街31號1樓","新北市","新店區","清新牙醫診所","0.392"
"32","陳則元醫師","新竹市東區志平路100號","skip","0.392","0.400","0.000","中元牙醫診所","","","","陳司瀚 醫師","0.347"
"33","新術牙體技術所","新竹市東區科學園路162巷1弄29號","skip","0.460","0.500","0.000","新研齒模工作室","新竹市宮口街28巷2弄1號","新竹市","","關新牙醫診所","0.460"
"34","陳柏瑋先生","臺北市松山區健康路35巷14號8F","skip","0.449","0.483","0.000","陳小姐","臺北市大安路1段133號5樓","臺北市","","柏青牙體技術所","0.352"
"35","光興牙體技術所","臺北市士林區小北街42號","skip","0.460","0.500","0.000","光和牙醫診所","臺北市士林區基河路２３８之３號１樓","臺北市","士林區","光華牙醫診所","0.460"
"36","海蒂牙醫診所","臺北市士林區中山北路五段641號","safe","1.094","1.000","0.920","海蒂牙醫診所","臺北市士林區中山北路5段641號1樓及2樓","臺北市","士林區","全海牙體技術所","0.420"
"37","高仕技工所","臺北市北投區石牌路1段33巷6弄1號2樓","safe","0.976","1.000","0.550","高仕牙體技術所","臺北市北投區石牌路一段33巷6弄4號2樓","臺北市","北投區","高瑞牙體技術所","0.420"
"38","惠生牙醫診所","臺北市北投區明德路123號1樓","skip","0.568","0.400","0.550","惠生牙醫聯合診所","臺北市北投區明德路一二一號二樓一二三號一、二樓","臺北市","北投區","惠生鑲牙","0.522"
"39","阮柏升","新北市林口區文化二路一段283號","skip","0.414","0.000","0.920","萊德美學牙醫診所","新北市林口區文化二路一段283號1.2樓","新北市","林口區","耀升牙體技術所","0.352"
"40","志明牙醫診所","臺北市中正區寧波西街80號","skip","0.460","0.500","0.000","明皓牙醫診所","臺北市中正區南昌路一段１２８號","臺北市","中正區","中明牙科診所","0.460"
"41","微笑牙體技術所","臺北市大同區延平北路二段43巷15-1號1樓","review","0.760","1.000","0.000","微笑牙醫診所","臺北市內湖區康樂街２０巷１號２樓","臺北市","內湖區","微光牙醫診所","0.420"
"42","康和牙醫診所","臺北市松山區八德路3段241號","safe","1.120","1.000","1.000","康和牙醫診所","臺北市松山區八德路3段241號","臺北市","松山區","秝康牙醫診所","0.460"
"43","靜巷美學牙醫","臺北市松山區民權東路三段106巷36號","safe","0.995","0.817","1.000","靜巷美學牙醫診所","臺北市松山區民權東路三段106巷36號","臺北市","松山區","美學牙醫診所","0.449"
"44","長青牙醫診所","臺北市大安區敦化南路2段88號","safe","1.094","1.000","0.920","長青牙醫診所","臺北市大安區敦化南路二段88號及86號2樓之2、86號10樓之2","臺北市","大安區","長青牙體技術所","0.760"
"45","東欣牙醫診所","臺北市北投區北投路二段17號","safe","1.094","1.000","0.920","東欣牙醫診所","臺北市北投區北投路2段17號1及2樓","臺北市","北投區","群欣牙醫診所","0.460"
"46","南雅牙醫診所","新北市板橋區南雅南路1段95號","safe","1.094","1.000","0.920","南雅牙醫診所","新北市板橋區南雅南路一段95號1.2F","新北市","板橋區","雅適牙體技術所","0.460"
"47","尚好技工所-歇業","新北市板橋區文聖街76號3樓","safe","0.780","0.500","1.000","上好牙體技術所","新北市板橋區文聖街76號3樓","新北市","板橋區","尚好牙體技術所","0.760"
"48","精品技工所 (林先生)","新北市板橋區懷德街191巷29號1樓","skip","0.675","0.817","0.000","精品牙醫診所","新北市板橋區漢生東路293號1樓及2樓","新北市","板橋區","精品牙體技術所","0.635"
"49","玉采技工所","新北市板橋區漢生西路163號1樓","safe","0.800","1.000","0.000","玉采牙體技術所","新北市板橋區莒光路165巷2之3號4樓","新北市","板橋區","名采牙體技術所","0.460"
"50","良德技工所","新北市板橋區中山路2段318巷20弄5號","skip","0.523","0.333","0.550","德崴聯合牙醫診所","新北市板橋區中山路二段二二四號","新北市","板橋區","中和德威牙醫診所","0.483"
"51","寰宇牙醫診所","新北市板橋區南雅西路2段2號2樓","skip","0.460","0.500","0.000","敦宇有限公司","新北市板橋區光武街48巷24之3號","新北市","板橋區","泓宇牙體技術所","0.460"
"52","永明技工所","新北市三重區自強路3段87巷14號","safe","1.094","1.000","0.920","永明牙體技術所","新北市三重區自強路三段87巷14號1樓","新北市","三重區","永進牙體技術所","0.460"
"53","品嘉技工所(羅文全先生)","新北市汐止區秀山路54號","skip","0.494","0.550","0.000","品嘉牙體技術所","新北市汐止區長江街101之2號1樓","新北市","汐止區","品嘉牙醫診所","0.454"
"54","新錡技工所(曲先生)","新北市新莊區中原東路58號","skip","0.675","0.817","0.000","新錡牙體技術所","新北市新莊區中原路102號5樓","新北市","新莊區","旭新牙醫診所","0.392"
"55","許新發","新北市蘆洲區民生街50號4樓","skip","0.635","0.817","0.000","新發牙體技術所","新北市土城區學成路91巷14號4樓","新北市","土城區","許牙醫診所","0.409"
"56","上揚技工所","臺北市大同區重慶北路3段278-2號3樓","safe","0.800","1.000","0.000","上揚牙體技術所","臺北市大同區環河北路2段115號4樓","臺北市","大同區","上允企業社","0.490"
"57","宏祥技工所","宜蘭縣員山鄉惠深一路41號","review","0.760","1.000","0.000","宏祥牙體技術所","宜蘭縣冬山鄉廣興路355巷11號1樓","宜蘭縣","冬山鄉","宏吉牙體技術所","0.420"
"58","非凡技工所","新竹市北區東大路2段198號3樓","safe","1.120","1.000","1.000","非凡牙體技術所","新竹市北區東大路二段198號3樓","新竹市","北區","非凡牙醫診所","0.380"
"59","宏月技工所","新竹市東區東南街143巷52號","safe","1.120","1.000","1.000","宏月牙體技術所","新竹市東區東南街143巷52號","新竹市","東區","宏昌牙醫診所","0.460"
