csv_row,excel_name,notion_name,result,score,name_score,address_score,target_city,target_district,old_address,new_address
"3","優瑞牙醫診所","瑞誠牙醫診所","skipped_review","0.636","0.500","0.550","臺北市","大安區","臺北市大安區安和路1段106號2樓","臺北市大安區安和路1段69號"
"4","敦南牙醫診所(仁愛路)","敦南牙醫聯合診所","skipped_review","0.649","0.308","1.000","臺北市","大安區","臺北市大安區仁愛路4段4號3樓","臺北市大安區仁愛路4段4號3樓"
"5","釉質技工所","釉質牙體技術所","updated","0.976","1.000","0.550","臺北市","萬華區","臺北市萬華區漢口街2段73號11樓之5","臺北市萬華區漢口街二段73號11-5"
"7","永豐技工所(吳先生)","永豐牙體技術所","skipped_review","0.675","0.817","0.000","臺北市","南港區","臺北市南港區福德街309巷19號1樓","臺北市南港區東新街108巷24號1樓"
"8","邁思特科技有限公司","歐登牙體技術所","skipped_review","0.440","0.000","1.000","新北市","中和區","新北市中和區中山路2段351號5樓之13","新北市中和區中山路2段351號5樓之13"
"10","新生技工所","新銳牙體技術所","skipped_review","0.460","0.500","0.000","宜蘭縣","宜蘭市","宜蘭縣宜蘭市大福路1段105巷1號","宜蘭縣宜蘭市新生里大福路2段168號"
"11","嘉鈺技工所","嘉鈺牙體技術所","updated","0.976","1.000","0.550","宜蘭縣","宜蘭市","宜蘭縣宜蘭市泰山路民族2巷12-2號1樓","宜蘭縣宜蘭市泰山路民族二巷12-2號"
"12","順源牙科","順源牙醫診所","skipped_review","0.562","0.650","0.000","宜蘭縣","頭城鎮","宜蘭縣頭城鎮青雲路二段352號1-3樓","宜蘭縣頭城鎮頂埔路2段191號"
"13","喜美牙醫診所","喜美牙醫診所","updated","0.800","1.000","0.000","宜蘭縣","頭城鎮","宜蘭縣頭城鎮協天路556巷36號3樓","宜蘭縣頭城鎮開蘭路85號之4"
"15","順益技工所","順益牙體技術所","updated","1.094","1.000","0.920","宜蘭縣","員山鄉","宜蘭縣員山鄉員山路一段234號2樓","宜蘭縣員山鄉員山路1段234號"
"16","維盟技工所-已歇業","維盟牙體技術所","updated","0.976","1.000","0.550","宜蘭縣","三星鄉","宜蘭縣三星鄉上將路二段326號","宜蘭縣三星鄉上將路2段320號"
"18","宏祥技工所","宏祥技工所","already_current","1.120","1.000","1.000","臺北市","大同區","臺北市大同區酒泉街68號4樓之1","臺北市大同區酒泉街68號4樓之1"
"19","龍興牙體技術所","龍安牙體技術所","skipped_review","0.460","0.500","0.000","臺北市","中山區","臺北市中山區龍江路209巷9-3號4樓","臺北市中山區復興北路514巷67號5樓"
"20","龍安技工所(臺北)","龍安牙體技術所","already_current","0.882","0.650","1.000","臺北市","中山區","臺北市中山區龍江路209巷9-3號4樓","臺北市中山區龍江路209巷9-3號4樓"
"21","柏創技工所","柏創牙體技術所","updated","1.094","1.000","0.920","新北市","新莊區","新北市新莊區思源路50號2樓","新北市新莊區思源路50號"
"22","真承技工所","真承牙體技術所","updated","0.800","1.000","0.000","新北市","新莊區","新北市新莊區民安西路140巷17號1樓","新北市新莊區西盛街344巷22弄12號6樓"
"23","順成技工所","詠順牙體技術所","skipped_review","0.420","0.500","0.000","新北市","泰山區","新北市永和區福和路309巷14弄7號5樓","新北市泰山區泰林路二段348號"
"24","永生技工所(胡先生)","永生牙體技術所","skipped_review","0.675","0.817","0.000","臺北市","中正區","臺北市中正區汀州路三段27巷33號","臺北市中正區汀洲路3段27巷33號1樓"
"25","喜樂牙醫診所","喜樂新生牙醫診所","skipped_review","0.738","0.650","0.550","臺北市","中正區","臺北市中正區新生南路1段50之1號2樓、50之2號2樓","臺北市中正區新生南路一段50-1號2樓"
"26","年展技工所","年展牙體技術所","updated","0.976","1.000","0.550","臺北市","文山區","臺北市文山區羅斯福路六段182號(實際營業地址：2樓)","臺北市文山區羅斯福路6段182號2樓"
"27","立新牙體技術所","立新牙體技術所","updated","0.800","1.000","0.000","臺北市","文山區","臺北市文山區木柵路2段26號2樓","臺北市文山區久康街95號1樓"
"28","廖啟鈞","滕啟民醫師","skipped_review","0.307","0.333","0.000","基隆市","中正區","基隆市仁愛區愛四路3-3號2樓","基隆市中正區豐稔街100巷32號8樓"
"29","尚豐技工所","尚豐牙體技術所","already_current","1.120","1.000","1.000","新北市","新店區","新北市新店區安康路3段和成街15巷2號1樓","新北市新店區安康路3段和成街15巷2號1樓"
"30","和昇技工所","康和牙醫診所","skipped_review","0.460","0.500","0.000","新北市","新店區","新北市新店區安和路三段１５３號","新北市新店區安祥路104巷49號"
"31","周清泉","盈泉牙體技術所","skipped_review","0.392","0.400","0.000","新北市","新店區","新北市新店區新生街31號1樓","新北市新店區大同里二十張路3-4號"
"32","陳則元醫師","中元牙醫診所","skipped_review","0.392","0.400","0.000","新竹市","東區","","新竹市東區志平路100號"
"33","新術牙體技術所","新研齒模工作室","skipped_review","0.460","0.500","0.000","新竹市","東區","新竹市宮口街28巷2弄1號","新竹市東區科學園路162巷1弄29號"
"34","陳柏瑋先生","陳小姐","skipped_review","0.449","0.483","0.000","臺北市","松山區","臺北市大安路1段133號5樓","臺北市松山區健康路35巷14號8F"
"35","光興牙體技術所","光和牙醫診所","skipped_review","0.460","0.500","0.000","臺北市","士林區","臺北市士林區基河路２３８之３號１樓","臺北市士林區小北街42號"
"36","海蒂牙醫診所","海蒂牙醫診所","updated","1.094","1.000","0.920","臺北市","士林區","臺北市士林區中山北路5段641號1樓及2樓","臺北市士林區中山北路五段641號"
"37","高仕技工所","高仕牙體技術所","updated","0.976","1.000","0.550","臺北市","北投區","臺北市北投區石牌路一段33巷6弄4號2樓","臺北市北投區石牌路1段33巷6弄1號2樓"
"38","惠生牙醫診所","惠生牙醫聯合診所","skipped_review","0.568","0.400","0.550","臺北市","北投區","臺北市北投區明德路一二一號二樓一二三號一、二樓","臺北市北投區明德路123號1樓"
"39","阮柏升","萊德美學牙醫診所","skipped_review","0.414","0.000","0.920","新北市","林口區","新北市林口區文化二路一段283號1.2樓","新北市林口區文化二路一段283號"
"40","志明牙醫診所","明皓牙醫診所","skipped_review","0.460","0.500","0.000","臺北市","中正區","臺北市中正區南昌路一段１２８號","臺北市中正區寧波西街80號"
"41","微笑牙體技術所","微笑牙醫診所","skipped_review","0.760","1.000","0.000","臺北市","大同區","臺北市內湖區康樂街２０巷１號２樓","臺北市大同區延平北路二段43巷15-1號1樓"
"42","康和牙醫診所","康和牙醫診所","already_current","1.120","1.000","1.000","臺北市","松山區","臺北市松山區八德路3段241號","臺北市松山區八德路3段241號"
"43","靜巷美學牙醫","靜巷美學牙醫診所","already_current","0.995","0.817","1.000","臺北市","松山區","臺北市松山區民權東路三段106巷36號","臺北市松山區民權東路三段106巷36號"
"44","長青牙醫診所","長青牙醫診所","updated","1.094","1.000","0.920","臺北市","大安區","臺北市大安區敦化南路二段88號及86號2樓之2、86號10樓之2","臺北市大安區敦化南路2段88號"
"45","東欣牙醫診所","東欣牙醫診所","updated","1.094","1.000","0.920","臺北市","北投區","臺北市北投區北投路2段17號1及2樓","臺北市北投區北投路二段17號"
"46","南雅牙醫診所","南雅牙醫診所","updated","1.094","1.000","0.920","新北市","板橋區","新北市板橋區南雅南路一段95號1.2F","新北市板橋區南雅南路1段95號"
"47","尚好技工所-歇業","上好牙體技術所","already_current","0.780","0.500","1.000","新北市","板橋區","新北市板橋區文聖街76號3樓","新北市板橋區文聖街76號3樓"
"48","精品技工所 (林先生)","精品牙醫診所","skipped_review","0.675","0.817","0.000","新北市","板橋區","新北市板橋區漢生東路293號1樓及2樓","新北市板橋區懷德街191巷29號1樓"
"49","玉采技工所","玉采牙體技術所","updated","0.800","1.000","0.000","新北市","板橋區","新北市板橋區莒光路165巷2之3號4樓","新北市板橋區漢生西路163號1樓"
"50","良德技工所","德崴聯合牙醫診所","skipped_review","0.523","0.333","0.550","新北市","板橋區","新北市板橋區中山路二段二二四號","新北市板橋區中山路2段318巷20弄5號"
"51","寰宇牙醫診所","敦宇有限公司","skipped_review","0.460","0.500","0.000","新北市","板橋區","新北市板橋區光武街48巷24之3號","新北市板橋區南雅西路2段2號2樓"
"52","永明技工所","永明牙體技術所","updated","1.094","1.000","0.920","新北市","三重區","新北市三重區自強路三段87巷14號1樓","新北市三重區自強路3段87巷14號"
"53","品嘉技工所(羅文全先生)","品嘉牙體技術所","skipped_review","0.494","0.550","0.000","新北市","汐止區","新北市汐止區長江街101之2號1樓","新北市汐止區秀山路54號"
"54","新錡技工所(曲先生)","新錡牙體技術所","skipped_review","0.675","0.817","0.000","新北市","新莊區","新北市新莊區中原路102號5樓","新北市新莊區中原東路58號"
"55","許新發","新發牙體技術所","skipped_review","0.635","0.817","0.000","新北市","蘆洲區","新北市土城區學成路91巷14號4樓","新北市蘆洲區民生街50號4樓"
"56","上揚技工所","上揚牙體技術所","updated","0.800","1.000","0.000","臺北市","大同區","臺北市大同區環河北路2段115號4樓","臺北市大同區重慶北路3段278-2號3樓"
"57","宏祥技工所","宏祥牙體技術所","skipped_review","0.760","1.000","0.000","宜蘭縣","員山鄉","宜蘭縣冬山鄉廣興路355巷11號1樓","宜蘭縣員山鄉惠深一路41號"
"58","非凡技工所","非凡牙體技術所","already_current","1.120","1.000","1.000","新竹市","北區","新竹市北區東大路二段198號3樓","新竹市北區東大路2段198號3樓"
"59","宏月技工所","宏月牙體技術所","already_current","1.120","1.000","1.000","新竹市","東區","新竹市東區東南街143巷52號","新竹市東區東南街143巷52號"
"60","協和牙體技術所","和美牙體技術所","skipped_review","0.636","0.500","0.550","新竹市","北區","新竹市延平路1段261巷18弄14號","新竹市北區延平路1段23巷7號"
"61","立新牙體技術所","新研齒模工作室","skipped_review","0.460","0.500","0.000","新竹市","北區","新竹市宮口街28巷2弄1號","新竹市北區延平路1段317巷83弄11號"
"62","牙德齒模技工所","牙德牙體技術所","already_current","1.120","1.000","1.000","新竹縣","新埔鎮","新竹縣新埔鎮田新里9鄰信義二街29巷5號","新竹縣新埔鎮田新里9鄰信義二街29巷5號"
"63","正典技工所","正典牙體技術所","already_current","1.120","1.000","1.000","桃園市","平鎮區","桃園市平鎮區建明路1段269巷2弄2號","桃園市平鎮區建明路1段269巷2弄2號"
"65","曜澄技工所","曜澄牙體技術所","already_current","1.120","1.000","1.000","桃園市","中壢區","桃園市中壢區龍岡路三段243巷73弄1號","桃園市中壢區龍岡路三段243巷73弄1號"
"66","名揚技工所(陳貴宗先生)","名揚牙體技術所","already_current","0.814","0.550","1.000","桃園市","平鎮區","桃園市平鎮區福林里5鄰39號","桃園市平鎮區福林里5鄰39號"
"67","捷安技工所(傅穗舟先生)","捷安牙體技術所","already_current","0.814","0.550","1.000","桃園市","平鎮區","桃園市平鎮區東豐路528巷1弄12號","桃園市平鎮區東豐路528巷1弄12號"
"68","潔明牙醫診所","潔明牙醫診所","already_current","1.120","1.000","1.000","桃園市","平鎮區","桃園市平鎮區和平路33號","桃園市平鎮區和平路33號"
"69","仁和牙科技工所","仁和牙科牙體技術所","already_current","0.882","0.650","1.000","桃園市","觀音區","桃園市觀音區崙坪里忠愛路3段230號","桃園市觀音區崙坪里忠愛路3段230號"
