csv_row,excel_name,csv_original_address,csv_updated_address,target_city,target_district,notion_name,notion_address,notion_city,notion_district,institution_code,customer_type,status,score,name_score,address_score,reason,suggested_action,page_id
"3","優瑞牙醫診所","臺北市安和路1段69號","臺北市大安區安和路1段69號","臺北市","大安區","瑞誠牙醫診所","臺北市大安區安和路1段106號2樓","臺北市","大安區","3701027235","牙醫診所","開業","0.696","0.500","0.550","有機構代碼且名稱/地址相似","review_then_import","335dcdaa-fb2a-8186-9a99-dd11cc3d01be"
"5","釉質技工所","臺北市萬華區漢口街二段73號11-5","臺北市萬華區漢口街二段73號11-5","臺北市","萬華區","釉質牙體技術所","臺北市萬華區漢口街二段73號11-5","臺北市","萬華區","2Y01190101","牙體技術所","開業","1.180","1.000","1.000","有機構代碼且名稱/地址相似","review_then_import","335dcdaa-fb2a-81ee-b719-dcca6c795a75"
"11","嘉鈺技工所","宜蘭市泰山路民族二巷12-2號","宜蘭縣宜蘭市泰山路民族二巷12-2號","宜蘭縣","宜蘭市","嘉鈺牙體技術所","宜蘭縣宜蘭市泰山路民族二巷12-2號","宜蘭縣","宜蘭市","2Y34010083","牙體技術所","開業","1.180","1.000","1.000","有機構代碼且名稱/地址相似","review_then_import","335dcdaa-fb2a-817a-9b63-fb2ad50d0b3a"
"12","順源牙科","宜蘭縣頭城鎮頂埔路2段191號","宜蘭縣頭城鎮頂埔路2段191號","宜蘭縣","頭城鎮","順源牙醫診所","宜蘭縣頭城鎮青雲路二段352號1-3樓","宜蘭縣","頭城鎮","3734040033","牙醫診所","開業","0.622","0.650","0.000","有機構代碼且名稱/地址相似","review_then_import","335dcdaa-fb2a-8144-8800-e46926a4d6d8"
"13","喜美牙醫診所","宜蘭縣頭城鎮開蘭路85號之4","宜蘭縣頭城鎮開蘭路85號之4","宜蘭縣","頭城鎮","喜美牙醫診所","宜蘭縣頭城鎮開蘭路85號之4","宜蘭縣","頭城鎮","3734040042","牙醫診所","開業","1.180","1.000","1.000","有機構代碼且名稱/地址相似","review_then_import","335dcdaa-fb2a-81ea-9f77-f4105383ee73"
"15","順益技工所","宜蘭縣員山鄉員山路1段234號","宜蘭縣員山鄉員山路1段234號","宜蘭縣","員山鄉","順益牙體技術所","宜蘭縣員山鄉員山路1段234號","宜蘭縣","員山鄉","2Y34070016","牙體技術所","開業","1.180","1.000","1.000","有機構代碼且名稱/地址相似","review_then_import","335dcdaa-fb2a-8185-b1ff-ea946c0cec3e"
"16","維盟技工所-已歇業","宜蘭縣三星鄉上將路2段320號","宜蘭縣三星鄉上將路2段320號","宜蘭縣","三星鄉","維盟牙體技術所","宜蘭縣三星鄉上將路2段320號","宜蘭縣","三星鄉","2Y34100019","牙體技術所","開業","1.180","1.000","1.000","有機構代碼且名稱/地址相似","review_then_import","335dcdaa-fb2a-81c7-b838-d82eab1e21ff"
"18","宏祥技工所","臺北市大同區酒泉街68號4樓之1","臺北市大同區酒泉街68號4樓之1","臺北市","大同區","宏祥技工所","臺北市大同區酒泉街68號4樓之1","臺北市","大同區","","牙體技術所","開業","1.120","1.000","1.000","高相似度單一候選","review_then_import","396dcdaa-fb2a-8036-853f-d5906c93d5f3"
"20","龍安技工所(臺北)","臺北市中山區龍江路209巷9-3號4樓","臺北市中山區龍江路209巷9-3號4樓","臺北市","中山區","龍安牙體技術所","臺北市中山區龍江路209巷9-3號4樓","臺北市","中山區","","牙體技術所","","0.882","0.650","1.000","高相似度單一候選","review_then_import","336dcdaa-fb2a-8151-86da-d133fc7031e7"
"21","柏創技工所","新北市新莊區思源路50號","新北市新莊區思源路50號","新北市","新莊區","柏創牙體技術所","新北市新莊區思源路50號","新北市","新莊區","2Y31060063","牙體技術所","開業","1.180","1.000","1.000","有機構代碼且名稱/地址相似","review_then_import","335dcdaa-fb2a-8140-9010-d0581531258f"
