csv_row,excel_name,notion_name,match_method,match_count,result,target_city,target_district,old_notion_address,updated_address
"3","優瑞牙醫診所","","","0","skipped_not_found","臺北市","大安區","","臺北市大安區安和路1段69號"
"4","敦南牙醫診所(仁愛路)","敦南牙醫聯合診所","address-updated-exact","1","already_current","臺北市","大安區","臺北市大安區仁愛路4段4號3樓","臺北市大安區仁愛路4段4號3樓"
"5","釉質技工所","","","0","skipped_not_found","臺北市","萬華區","","臺北市萬華區漢口街二段73號11-5"
"7","永豐技工所(吳先生)","","","0","skipped_not_found","臺北市","南港區","","臺北市南港區東新街108巷24號1樓"
"8","邁思特科技有限公司","歐登牙體技術所","address-original-exact","1","already_current","新北市","中和區","新北市中和區中山路2段351號5樓之13","新北市中和區中山路2段351號5樓之13"
"10","新生技工所","","","0","skipped_not_found","宜蘭縣","宜蘭市","","宜蘭縣宜蘭市新生里大福路2段168號"
"11","嘉鈺技工所","","","0","skipped_not_found","宜蘭縣","宜蘭市","","宜蘭縣宜蘭市泰山路民族二巷12-2號"
"12","順源牙科","","","0","skipped_not_found","宜蘭縣","頭城鎮","","宜蘭縣頭城鎮頂埔路2段191號"
"13","喜美牙醫診所","","","0","skipped_not_found","宜蘭縣","頭城鎮","","宜蘭縣頭城鎮開蘭路85號之4"
"15","順益技工所","","","0","skipped_not_found","宜蘭縣","員山鄉","","宜蘭縣員山鄉員山路1段234號"
"16","維盟技工所-已歇業","","","0","skipped_not_found","宜蘭縣","三星鄉","","宜蘭縣三星鄉上將路2段320號"
"18","宏祥技工所","宏祥技工所","address-original-exact","1","already_current","臺北市","大同區","臺北市大同區酒泉街68號4樓之1","臺北市大同區酒泉街68號4樓之1"
"19","龍興牙體技術所","峰茂齒模承製所","address-original-exact","1","already_current","臺北市","中山區","臺北市中山區復興北路514巷67號5樓","臺北市中山區復興北路514巷67號5樓"
"20","龍安技工所(臺北)","","address-original-exact","2","skipped_multiple","臺北市","中山區","","臺北市中山區龍江路209巷9-3號4樓"
"21","柏創技工所","","name-address-fuzzy","2","skipped_multiple","新北市","新莊區","","新北市新莊區思源路50號"
"22","真承技工所","","","0","skipped_not_found","新北市","新莊區","","新北市新莊區西盛街344巷22弄12號6樓"
"23","順成技工所","","","0","skipped_not_found","新北市","泰山區","","新北市泰山區泰林路二段348號"
"24","永生技工所(胡先生)","","","0","skipped_not_found","臺北市","中正區","","臺北市中正區汀洲路3段27巷33號1樓"
"25","喜樂牙醫診所","","","0","skipped_not_found","臺北市","中正區","","臺北市中正區新生南路一段50-1號2樓"
"26","年展技工所","","","0","skipped_not_found","臺北市","文山區","","臺北市文山區羅斯福路6段182號2樓"
"27","立新牙體技術所","","","0","skipped_not_found","臺北市","文山區","","臺北市文山區久康街95號1樓"
"28","廖啟鈞","","","0","skipped_not_found","基隆市","中正區","","基隆市中正區豐稔街100巷32號8樓"
"29","尚豐技工所","尚豐牙體技術所","name-address-fuzzy","1","updated","新北市","新店區","新北市新店區和成街15巷2號1樓","新北市新店區安康路3段和成街15巷2號1樓"
"30","和昇技工所","","","0","skipped_not_found","新北市","新店區","","新北市新店區安祥路104巷49號"
"31","周清泉","","","0","skipped_not_found","新北市","新店區","","新北市新店區大同里二十張路3-4號"
"32","陳則元醫師","","","0","skipped_not_found","新竹市","東區","","新竹市東區志平路100號"
"33","新術牙體技術所","","","0","skipped_not_found","新竹市","東區","","新竹市東區科學園路162巷1弄29號"
"34","陳柏瑋先生","","","0","skipped_not_found","臺北市","松山區","","臺北市松山區健康路35巷14號8F"
"35","光興牙體技術所","","","0","skipped_not_found","臺北市","士林區","","臺北市士林區小北街42號"
"36","海蒂牙醫診所","","","0","skipped_not_found","臺北市","士林區","","臺北市士林區中山北路五段641號"
"37","高仕技工所","","","0","skipped_not_found","臺北市","北投區","","臺北市北投區石牌路1段33巷6弄1號2樓"
"38","惠生牙醫診所","","","0","skipped_not_found","臺北市","北投區","","臺北市北投區明德路123號1樓"
"39","阮柏升","","","0","skipped_not_found","新北市","林口區","","新北市林口區文化二路一段283號"
"40","志明牙醫診所","","","0","skipped_not_found","臺北市","中正區","","臺北市中正區寧波西街80號"
"41","微笑牙體技術所","","","0","skipped_not_found","臺北市","大同區","","臺北市大同區延平北路二段43巷15-1號1樓"
"42","康和牙醫診所","康和牙醫診所","name-address-fuzzy","1","updated","臺北市","松山區","臺北市松山區八德路3段241號1、2樓","臺北市松山區八德路3段241號"
"43","靜巷美學牙醫","靜巷美學牙醫診所","name-address-fuzzy","1","updated","臺北市","松山區","臺北市松山區民權東路3段106巷36號1樓","臺北市松山區民權東路三段106巷36號"
"44","長青牙醫診所","巫宜真醫師","address-original-exact","1","already_current","臺北市","大安區","臺北市大安區敦化南路2段88號","臺北市大安區敦化南路2段88號"
"45","東欣牙醫診所","","","0","skipped_not_found","臺北市","北投區","","臺北市北投區北投路二段17號"
"46","南雅牙醫診所","","","0","skipped_not_found","新北市","板橋區","","新北市板橋區南雅南路1段95號"
"47","尚好技工所-歇業","上好牙體技術所","address-original-exact","1","already_current","新北市","板橋區","新北市板橋區文聖街76號3樓","新北市板橋區文聖街76號3樓"
"48","精品技工所 (林先生)","","","0","skipped_not_found","新北市","板橋區","","新北市板橋區懷德街191巷29號1樓"
"49","玉采技工所","","","0","skipped_not_found","新北市","板橋區","","新北市板橋區漢生西路163號1樓"
"50","良德技工所","","","0","skipped_not_found","新北市","板橋區","","新北市板橋區中山路2段318巷20弄5號"
"51","寰宇牙醫診所","","","0","skipped_not_found","新北市","板橋區","","新北市板橋區南雅西路2段2號2樓"
"52","永明技工所","","","0","skipped_not_found","新北市","三重區","","新北市三重區自強路3段87巷14號"
"53","品嘉技工所(羅文全先生)","","","0","skipped_not_found","新北市","汐止區","","新北市汐止區秀山路54號"
"54","新錡技工所(曲先生)","","","0","skipped_not_found","新北市","新莊區","","新北市新莊區中原東路58號"
"55","許新發","","","0","skipped_not_found","新北市","蘆洲區","","新北市蘆洲區民生街50號4樓"
"56","上揚技工所","","","0","skipped_not_found","臺北市","大同區","","臺北市大同區重慶北路3段278-2號3樓"
"57","宏祥技工所","","","0","skipped_not_found","宜蘭縣","員山鄉","","宜蘭縣員山鄉惠深一路41號"
"58","非凡技工所","","","0","skipped_not_found","新竹市","北區","","新竹市北區東大路2段198號3樓"
"59","宏月技工所","宏月牙體技術所","name-address-fuzzy","1","updated","新竹市","東區","新竹市東區頂竹里東南街143巷52號1樓","新竹市東區東南街143巷52號"
"60","協和牙體技術所","","","0","skipped_not_found","新竹市","北區","","新竹市北區延平路1段23巷7號"
"61","立新牙體技術所","","","0","skipped_not_found","新竹市","北區","","新竹市北區延平路1段317巷83弄11號"
"62","牙德齒模技工所","牙德牙體技術所","name-address-fuzzy","1","updated","新竹縣","新埔鎮","新竹縣新埔鎮信義二街29巷5號1樓","新竹縣新埔鎮田新里9鄰信義二街29巷5號"
"63","正典技工所","正典牙體技術所","name-address-fuzzy","1","updated","桃園市","平鎮區","桃園市平鎮區建明路一段269巷2弄2號2樓","桃園市平鎮區建明路1段269巷2弄2號"
