csv_row,excel_name,csv_original_address,csv_updated_address,target_city,target_district,notion_name,notion_address,notion_city,notion_district,institution_code,customer_type,status,score,name_score,address_score,reason,suggested_action,page_id
"4","敦南牙醫診所(仁愛路)","臺北市仁愛路4段4號3樓","臺北市大安區仁愛路4段4號3樓","臺北市","大安區","敦南牙醫聯合診所","臺北市大安區仁愛路4段4號3樓","臺北市","大安區","3701026167","牙醫診所","開業","0.709","0.308","1.000","相似度不足或候選不唯一；第二候選=仁愛心悅牙醫診所(0.658)","manual_review","335dcdaa-fb2a-8170-8a09-cb092fc5afb7"
"7","永豐技工所(吳先生)","臺北市南港區東新街108巷24號1樓","臺北市南港區東新街108巷24號1樓","臺北市","南港區","永豐牙體技術所","臺北市南港區福德街309巷19號1樓","臺北市","南港區","","牙體技術所","","0.675","0.817","0.000","相似度不足或候選不唯一；第二候選=永豐牙體技術所(0.635)","manual_review","336dcdaa-fb2a-81c5-9912-ef039f4ae261"
"8","邁思特科技有限公司","新北市中和區中山路2段351號5樓之13","新北市中和區中山路2段351號5樓之13","新北市","中和區","歐登牙體技術所","新北市中和區中山路2段351號5樓之13","新北市","中和區","2Y31040285","牙體技術所","開業","0.500","0.000","1.000","相似度不足或候選不唯一；第二候選=貝爾登科技有限公司(0.392)","manual_review","335dcdaa-fb2a-81a5-b838-f298f8233b9f"
"10","新生技工所","宜蘭市新生里大福路2段168號","宜蘭縣宜蘭市新生里大福路2段168號","宜蘭縣","宜蘭市","育生牙醫診所","宜蘭縣礁溪鄉六結村中山路一段216號","宜蘭縣","礁溪鄉","3734050011","牙醫診所","開業","0.480","0.500","0.000","相似度不足或候選不唯一；第二候選=利生牙醫診所(0.480)","manual_review","335dcdaa-fb2a-8110-bc89-e412c9d0a2eb"
"19","龍興牙體技術所","臺北市中山區復興北路514巷67號5樓","臺北市中山區復興北路514巷67號5樓","臺北市","中山區","龍江牙醫診所","臺北市中山區南京東路3段118號2樓","臺北市","中山區","3701105958","牙醫診所","開業","0.520","0.500","0.000","相似度不足或候選不唯一；第二候選=華興牙體技術所(0.480)","manual_review","335dcdaa-fb2a-815b-a161-e9527fc337f9"
"23","順成技工所","新北市泰山區泰林路二段348號","新北市泰山區泰林路二段348號","新北市","泰山區","順豐牙體技術所","新北市中和區國光街１６９巷１７號１樓","新北市","中和區","2Y31040070","牙體技術所","開業","0.480","0.500","0.000","相似度不足或候選不唯一；第二候選=百成牙醫診所(0.480)","manual_review","335dcdaa-fb2a-81a0-8a6a-d350ea7522c2"
"28","廖啟鈞","基隆市中正區豐稔街100巷32號8樓","基隆市中正區豐稔街100巷32號8樓","基隆市","中正區","滕啟民醫師","基隆市仁愛區愛四路3-3號2樓","基隆市","仁愛區","","","","0.307","0.333","0.000","相似度不足或候選不唯一；第二候選=啟鈞牙體技術所(0.255)","manual_review","336dcdaa-fb2a-81b6-8f8d-f22b8a2187ab"
"30","和昇技工所","新北市新店區安祥路104巷49號","新北市新店區安祥路104巷49號","新北市","新店區","康和牙醫診所","新北市新店區安和路三段１５３號","新北市","新店區","3731050911","牙醫診所","開業","0.520","0.500","0.000","相似度不足或候選不唯一；第二候選=平和牙體技術所(0.480)","manual_review","335dcdaa-fb2a-8187-a3ed-dbbbcfdced29"
"31","周清泉","新北市新店區大同里二十張路3-4號","新北市新店區大同里二十張路3-4號","新北市","新店區","盈泉牙體技術所","新北市新店區新生街31號1樓","新北市","新店區","2Y31050049","牙體技術所","開業","0.452","0.400","0.000","相似度不足或候選不唯一；第二候選=清新牙醫診所(0.452)","manual_review","335dcdaa-fb2a-811b-a7ea-cbd79323eef4"
"32","陳則元醫師","新竹市東區志平路100號","新竹市東區志平路100號","新竹市","東區","陳慧貞牙醫診所","新竹市東區建新路36號","新竹市","東區","3712010844","牙醫診所","開業","0.407","0.333","0.000","相似度不足或候選不唯一；第二候選=陳奕熹牙醫診所(0.407)","manual_review","335dcdaa-fb2a-8170-9cac-d6d87a91694f"
