skuCode,name,brand,businessCategory,functionCategory,productKind,classificationStatus,classificationMethod,seriesId,seriesMatch,reviewRequired,reviewReasons,legacyProductType,legacyMainCategory,legacyCategory
AB-01,Vera Bond 瓷牙金屬,Aalba Dent,fixed-restorative,metal-material,material,approved_rule,legacy_category_rule,,unmatched,false,,材料,材料,金屬材料
AB-02,Vera Bond II 瓷牙金屬(不含鈹),Aalba Dent,fixed-restorative,metal-material,material,approved_rule,legacy_category_rule,,unmatched,false,,材料,材料,金屬材料
AB-03,Vera Bond V 瓷牙金屬,Aalba Dent,fixed-restorative,metal-material,material,approved_rule,legacy_category_rule,,unmatched,false,,材料,材料,金屬材料
AB-03-1,Vera Bond V 瓷牙金屬,Aalba Dent,fixed-restorative,metal-material,material,approved_rule,legacy_category_rule,,unmatched,false,,材料,材料,金屬材料
AB-04,Comandium 陶瓷合金,Aalba Dent,fixed-restorative,metal-material,material,approved_rule,legacy_category_rule,,unmatched,false,,材料,材料,金屬材料
AB-05,Continum V 陶瓷合金,Aalba Dent,fixed-restorative,metal-material,material,approved_rule,legacy_category_rule,,unmatched,false,,材料,材料,金屬材料
AB-06,Continum C 陶瓷合金,Aalba Dent,fixed-restorative,metal-material,material,approved_rule,legacy_category_rule,,unmatched,false,,材料,材料,金屬材料
AB-07,NPG Alloy (100g),Aalba Dent,fixed-restorative,metal-material,material,approved_rule,legacy_category_rule,,unmatched,false,,材料,材料,金屬材料
AB-09,VB Solder 瓷牙焊條 (10g),Aalba Dent,fixed-restorative,metal-material,material,approved_rule,legacy_category_rule,,unmatched,false,,材料,材料,金屬材料
AB-10,Vera PDS 軟 太空金屬,Aalba Dent,fixed-restorative,metal-material,material,approved_rule,legacy_category_rule,,unmatched,false,,材料,材料,金屬材料
AB-11,Vera PDN 硬 太空金屬,Aalba Dent,fixed-restorative,metal-material,material,approved_rule,legacy_category_rule,,unmatched,false,,材料,材料,金屬材料
AB-12,Vera PDN 軟 太空金屬,Aalba Dent,fixed-restorative,metal-material,material,approved_rule,legacy_category_rule,,unmatched,false,,材料,材料,金屬材料
AB-17,Comandium II 瓷牙金屬,Aalba Dent,fixed-restorative,metal-material,material,approved_rule,legacy_category_rule,,unmatched,false,,材料,材料,金屬材料
AB-20,Vera Bond 2V 瓷牙金屬,Aalba Dent,fixed-restorative,metal-material,material,approved_rule,legacy_category_rule,,unmatched,false,,材料,材料,金屬材料
AB-21,Vera PDI 硬 太空金屬,Aalba Dent,fixed-restorative,metal-material,material,approved_rule,legacy_category_rule,,unmatched,false,,材料,材料,金屬材料
AB-22,Comandium (ti) 陶瓷合金,Aalba Dent,fixed-restorative,metal-material,material,approved_rule,legacy_category_rule,,unmatched,false,,材料,材料,金屬材料
AB-23,Vera Bond III 鈷鉻金屬,Aalba Dent,fixed-restorative,metal-material,material,approved_rule,legacy_category_rule,,unmatched,false,,材料,材料,金屬材料
ADB-001,Carbide Bur HP1,Prima Dental,lab-production,bur-drill,consumable,approved_rule,legacy_category_rule,,unmatched,false,,耗材,耗材,車針 / 鑽針
ADB-002,Carbide Bur HP2,Prima Dental,lab-production,bur-drill,consumable,approved_rule,legacy_category_rule,,unmatched,false,,耗材,耗材,車針 / 鑽針
ADB-003,Carbide Bur HP3,Prima Dental,lab-production,bur-drill,consumable,approved_rule,legacy_category_rule,,unmatched,false,,耗材,耗材,車針 / 鑽針
ADB-004,Carbide Bur HP4,Prima Dental,lab-production,bur-drill,consumable,approved_rule,legacy_category_rule,,unmatched,false,,耗材,耗材,車針 / 鑽針
ADB-005,Carbide Bur HP5,Prima Dental,lab-production,bur-drill,consumable,approved_rule,legacy_category_rule,,unmatched,false,,耗材,耗材,車針 / 鑽針
ADB-006,Carbide Bur HP6,Prima Dental,lab-production,bur-drill,consumable,approved_rule,legacy_category_rule,,unmatched,false,,耗材,耗材,車針 / 鑽針
ADB-007,Carbide Bur HP7,Prima Dental,lab-production,bur-drill,consumable,approved_rule,legacy_category_rule,,unmatched,false,,耗材,耗材,車針 / 鑽針
ADB-008,Carbide Bur HP8,Prima Dental,lab-production,bur-drill,consumable,approved_rule,legacy_category_rule,,unmatched,false,,耗材,耗材,車針 / 鑽針
