row,source_code,source_name,source_address,status,score,name_score,address_score,phone_score,notion_name,notion_address,previous_owner,notion_page_id,second_name,second_score
"7","100049","華慶牙醫診所","台北市中正區中華路二段339號1樓(下午3點後)","matched_update","0.953","1.000","0.920","0.000","華慶牙醫診所","臺北市中正區中華路二段339號","Sam","335dcdaa-fb2a-8186-89c2-e5b3d9a2e185","華興牙體技術所","0.350"
"8","100053","華恩牙醫診所","台北市和平西路1段154號","matched_update","0.878","1.000","0.700","0.000","華恩牙醫診所","臺北市中正區和平西路一段一五四號","Sam","335dcdaa-fb2a-81ac-b2c3-e6c52c864a89","成恩牙體技術所","0.350"
"9","100060","廖泓儀先生","台北市中正區羅斯福路一段107號7樓","matched_update","0.960","1.000","1.000","0.000","廖泓儀先生","臺北市中正區羅斯福路一段107號7樓","Sam","336dcdaa-fb2a-8175-b9e3-dfe983f1f153","力儀牙體技術所","0.292"
"10","100061","志明牙醫診所","台北市中正區寧波西街80號","matched_update","1.040","1.000","1.000","1.000","志明牙醫診所","臺北市中正區寧波西街80號","Sam","397dcdaa-fb2a-81e2-a00a-c1e5b420cc36","明浩牙體技術所","0.350"
"11","103028","村松牙體技術所","台北市大同區大龍街259巷14號2樓","skipped_review","0.640","1.000","0.000","0.000","村松牙體技術所","臺北市大同區重慶北路二段207號2樓之1","Sam","335dcdaa-fb2a-8139-8579-ecc2e5b988a2","石松牙體技術所","0.350"
"12","103045","微笑牙體技術所","台北市大同區延平北路二段43巷15-1號1樓","matched_update","0.980","1.000","1.000","0.000","微笑牙醫診所","臺北市大同區延平北路二段43巷15-1號1樓","公司","335dcdaa-fb2a-81f5-97f2-e320506a7dff","微光牙醫診所","0.350"
"13","103051","游沛儒","台北市大同區敦煌路24巷6號4樓之5","matched_update","0.960","1.000","1.000","0.000","游沛儒","臺北市大同區敦煌路24巷6號4樓之5","Sam","336dcdaa-fb2a-813a-9b28-ec810051951b","儒願牙醫診所","0.292"
"14","104003","鼎將技工所(詹先生)","台北市中山區吉林路254-2號3樓","skipped_review","0.703","0.787","0.550","0.000","鼎將牙體技術所","臺北市中山區吉林路254之2號3樓","Sam","335dcdaa-fb2a-8184-b5e8-d7d44414f49e","詹牙醫診所","0.323"
"15","104026","喬登技工所","台北市中山區龍江路342巷40號","matched_update","1.060","1.000","1.000","1.000","喬登牙體技術所","臺北市中山區龍江路342巷40號","Sam","335dcdaa-fb2a-81e5-8f01-d082477d914b","美登牙醫診所","0.350"
"16","104073","鑫瓷齒研牙體技術所","台北市林森北路627號3F","matched_update","0.907","1.000","0.550","1.000","鑫瓷齒研牙體技術所","臺北市中山區林森北路627號3樓","Sam","335dcdaa-fb2a-81a6-a102-fedd4dc5dcd2","鋯鑫齒研牙體技術所","0.495"
"17","104077","印象牙醫診所","台北市中山區民權東路2段108號","matched_update","1.060","1.000","1.000","1.000","印象牙醫診所","臺北市中山區民權東路二段一０八號","Sam","335dcdaa-fb2a-8121-932d-d34db4a6ab6e","新象牙醫診所","0.350"
"18","104090","肯奈技工所","台北市中山區民生東路2段92號3F","matched_update","0.960","1.000","1.000","0.000","肯奈牙體技術所","臺北市中山區民生東路2段92號3F","Sam","336dcdaa-fb2a-8128-9c5c-e228da36fed4","星誠牙醫診所","0.247"
"19","105074","康和牙醫診所","台北市八德路3段241號","matched_update","0.958","1.000","0.700","1.000","康和牙醫診所","臺北市松山區八德路3段241號","小郭","335dcdaa-fb2a-81ea-b339-c316a0d55ba7","上和牙體技術所","0.350"
"20","105084","靜巷美學牙醫","台北市松山區民權東路三段106巷36號","matched_update","0.936","0.787","1.000","1.000","靜巷美學牙醫診所","臺北市松山區民權東路三段106巷36號","小郭","335dcdaa-fb2a-81ad-bf68-d245a5e21a64","美學牙醫診所","0.323"
"21","106108","上恩牙體技術所(李先生)","台北市大安區仁愛路4段112巷9弄7號2樓","matched_update","0.836","0.787","1.000","0.000","上恩牙體技術所","臺北市大安區仁愛路4段112巷9弄7號2樓","Sam","336dcdaa-fb2a-81ed-aefd-e86b11f8034f","上恩牙體技術所","0.596"
"22","106121","長青牙醫診所","台北市大安區敦化南路2段88號","matched_update","1.060","1.000","1.000","1.000","長青牙醫診所","臺北市大安區敦化南路2段88號","Sam","335dcdaa-fb2a-813c-8d32-dea97e4b72ea","長青牙體技術所","0.620"
"23","106139","巫宜真醫師","台北市大安區敦化南路2段88號","skipped_review","0.480","0.000","1.000","1.000","長青牙醫診所","臺北市大安區敦化南路2段88號","Sam","335dcdaa-fb2a-813c-8d32-dea97e4b72ea","似真牙醫診所","0.292"
"24","106145","茉莉牙醫診所","台北市大安區忠孝東路3段253號3樓","matched_update","1.060","1.000","1.000","1.000","茉莉牙醫診所","臺北市大安區忠孝東路三段253號3樓","Sam","335dcdaa-fb2a-81e4-a163-f63dd1375e91","茉莉牙醫診所","0.350"
"25","108034","威登牙體技術所","新北市三重區光復路一段83巷4號5樓","skipped_review","0.760","0.620","1.000","0.000","威登數位牙體技術所","新北市三重區光復路一段83巷4號5樓","Sam","335dcdaa-fb2a-816b-80e2-d708445145c0","威登牙醫診所","0.640"
"26","108035","黃嘉信","台北市萬華區康定路82號2樓之1","matched_update","0.960","1.000","1.000","0.000","黃嘉信","臺北市萬華區康定路82號2樓之1","Sam","336dcdaa-fb2a-8149-8362-f1d79105f0af","黃牙醫診所","0.323"
"27","108037","奇技牙體技術所","台北市萬華區長泰街19巷1號5樓","skipped_review","0.720","1.000","0.000","1.000","奇技牙體技術所","臺北市萬華區東園街28巷27號3樓","Sam","335dcdaa-fb2a-81d4-8839-c2666ca4f574","享奇蹟生技有限公司","0.371"
"28","110074","成品牙醫診所","台北市信義區莊敬路322號3樓","matched_update","1.060","1.000","1.000","1.000","成品牙醫診所","臺北市信義區莊敬路322號3樓","Sam","335dcdaa-fb2a-81db-a2f3-e602ddd38167","良品牙醫診所","0.537"
"29","111068","林沅萱","台北市士林區中山北路六段277巷18弄9號3樓","matched_update","0.960","1.000","1.000","0.000","林沅萱","臺北市士林區中山北路六段277巷18弄9號3樓","Sam","336dcdaa-fb2a-8162-802f-cce89aa1f519","林牙醫診所","0.323"
"30","111073","和玉牙醫診所","台北市士林區中山北路六段405巷55號1樓","matched_update","1.060","1.000","1.000","1.000","和玉牙醫診所","臺北市士林區中山北路6段405巷55號1樓","Sam","335dcdaa-fb2a-81ac-b4a0-c86180411605","上和牙體技術所","0.350"
"31","112029","亞齊訢牙體技術所","台北市北投區大業路624號","matched_update","0.980","1.000","1.000","0.000","亞齊訢牙體技術所","臺北市北投區大業路624號","Sam","335dcdaa-fb2a-812b-8d6a-da82d4ff1d7e","亞緻牙體技術所","0.292"
"32","112035","東欣牙醫診所","台北市北投區北投路二段17號","matched_update","1.060","1.000","1.000","1.000","東欣牙醫診所","臺北市北投區北投路二段17號","小郭","335dcdaa-fb2a-8109-aa8f-ce98b1932c8d","凱欣牙體技術所","0.350"
"33","114031","立唯牙體技術所(永承)","新北市三重區三和路四段181巷61號2樓","matched_update","0.840","0.620","1.000","1.000","立唯牙體技術所","新北市三重區三和路四段181巷61號2樓","Sam","335dcdaa-fb2a-817a-8567-ee59770aecd9","永承牙體技術所","0.400"
"34","114061","惟君美學牙醫診所","台北市內湖區民權東路六段168號","matched_update","1.033","1.000","0.920","1.000","惟君美學牙醫診所","臺北市內湖區民權東路六段168號1及2樓","Sam","335dcdaa-fb2a-815c-add5-f0225ed349cd","宸蒔美學牙醫診所","0.537"
"35","115030","莊智傑","台北市南港區忠孝東路七段545號","matched_update","0.960","1.000","1.000","0.000","莊智傑","臺北市南港區忠孝東路七段545號","Sam","336dcdaa-fb2a-81a2-8cc2-eb7afa2f96ae","雅美潔牙體技術所","0.453"
"36","116030","億昇牙體技術所(張世祥先生)","台北市文山區興隆路4段165巷4號3樓","skipped_review","0.682","0.520","1.000","0.000","億昇牙體技術所","臺北市文山區興隆路4段165巷4號3樓","Sam","336dcdaa-fb2a-8165-9b5d-ed9141ef1489","欣雅牙體技術所","0.247"
"37","220010","仁傑技工所(李文傑)","新北市土城區延和路88巷6號1樓","skipped_review","0.682","0.520","1.000","0.000","仁傑牙體技術所","新北市土城區延和路88巷6號1樓","Sam","336dcdaa-fb2a-8184-9ac8-e85b0d183582","劉仁傑先生","0.330"
"38","220027","南雅牙醫診所","新北市板橋區南雅南路1段95號","matched_update","1.060","1.000","1.000","1.000","南雅牙醫診所","新北市板橋區南雅南路1段95號","小郭","335dcdaa-fb2a-8185-a3a9-e346bae6248e","雅坊牙體技術所","0.350"
"39","220032","良信技工所","新北市板橋區文化路1段188巷34之2號3樓","matched_update","1.040","1.000","1.000","1.000","良信牙體技術所","新北市板橋區文化路1段188巷34之2號3樓","Sam","33cdcdaa-fb2a-8112-bd2e-ca7c0ba94954","安信牙醫診所","0.537"
"40","220036","尚好技工所-歇業","新北市板橋區文聖街76號3樓","skipped_review","0.690","0.500","1.000","0.000","上好牙體技術所","新北市板橋區文聖街76號3樓","Sam","335dcdaa-fb2a-819f-a915-da12ff7f5da9","尚好牙體技術所","0.620"
"41","220044","精品技工所 (林先生)","新北市板橋區懷德街191巷29號1樓","matched_update","0.856","0.787","1.000","0.000","精品牙醫診所","新北市板橋區懷德街191巷29號1樓","","335dcdaa-fb2a-81a6-9bf2-d830d89b08f2","精品牙體技術所","0.516"
"42","220051","張哲源先生","新北市板橋區民治街31號","matched_update","0.960","1.000","1.000","0.000","張哲源先生","新北市板橋區民治街31號","Sam","336dcdaa-fb2a-81a0-995b-c41582596bed","哲辰牙體技術所","0.292"
"43","220052","玉采技工所","新北市板橋區漢生西路163號1樓","matched_update","1.060","1.000","1.000","1.000","玉采牙體技術所","新北市板橋區漢生西路163號1樓","小郭","335dcdaa-fb2a-8195-939a-f7feefade5ba","名采牙體技術所","0.350"
"44","220084","良德技工所","新北市板橋區中山路2段318巷20弄5號","matched_update","1.040","1.000","1.000","1.000","良德技工所","新北市板橋區中山路2段318巷20弄5號","Sam","397dcdaa-fb2a-81f5-a47b-f2cacc74d465","中和德威牙醫診所","0.440"
"45","220087","光立牙科齒模技研所(曾首舜先生)","新北市板橋區僑中二街104巷2號6樓","matched_update","0.856","0.820","1.000","0.000","光立牙科齒模技研所","新北市板橋區僑中二街104巷2號6樓","Sam","336dcdaa-fb2a-81de-86b4-d72120f05a43","立紳牙科","0.289"
"46","220093","琢御技工所(張先生)","新北市板橋區僑中二街108巷6號5F","matched_update","0.836","0.787","1.000","0.000","琢御牙體技術所","新北市板橋區僑中二街108巷6號5F","Sam","336dcdaa-fb2a-810e-bea7-ed9f1c45deb6","御信牙體技術所","0.292"
"47","220103","育全技工所(鄧先生)","新北市板橋區僑中二街48巷3號1F","skipped_review","0.703","0.787","0.550","0.000","育全牙體技術所","新北市板橋區僑中二街48巷3號1樓","Sam","335dcdaa-fb2a-81b8-a8b0-cfea7f5a6d0c","育安牙醫診所","0.292"
"48","220125","鑫鎂牙體技術所(陳先生)","新北市板橋區中山路2段374號2樓","matched_update","0.836","0.787","1.000","0.000","鑫鎂牙體技術所","新北市板橋區中山路2段374號2樓","Sam","336dcdaa-fb2a-81f3-a462-e2ea2a736d02","鑫鎂牙體技術所","0.516"
"49","220129","登緹牙體技術所","新北市板橋區四川路一段178號3樓","matched_update","0.980","1.000","1.000","0.000","登緹牙體技術所","新北市板橋區四川路一段178號3樓","Sam","335dcdaa-fb2a-815a-b9af-f2ef026cbc2c","傑登牙體技術所","0.350"
"50","220147","寰宇牙醫診所","新北市板橋區南雅西路2段2號2樓","skipped_review","0.350","1.000","0.000","0.000","寰宇牙醫診所","臺北市南港區舊莊街1段91巷14之1號(1樓)","小郭","335dcdaa-fb2a-8146-8050-d10835b91c53","泓宇牙體技術所","0.350"
"51","221017","奕家牙體技術所(林先生)","新北市汐止區伯爵街39巷32號1樓","matched_update","0.936","0.787","1.000","1.000","奕家牙體技術所","新北市汐止區伯爵街39巷32號1樓","Sam","335dcdaa-fb2a-810e-a336-c505bafd050e","林牙醫診所","0.323"
"52","234008","順合技工所","新北市永和區民生路47巷2號3樓","matched_update","1.040","1.000","1.000","1.000","順合牙體技術所","新北市永和區民生路47巷2號3樓","Sam","33cdcdaa-fb2a-813e-80aa-d9338496055a","建合牙體技術所","0.350"
"53","234032","技佳牙體技術所","新北市中和區橋和路90號5樓","matched_update","1.060","1.000","1.000","1.000","技佳牙體技術所","新北市中和區橋和路９０號５樓","Sam","335dcdaa-fb2a-8199-85b2-e613dc24f1e5","貝爾登科技有限公司","0.546"
"54","234052","澄恩牙體技術所(吳先生)","新北市永和區保平路203巷9號1F","skipped_review","0.703","0.787","0.550","0.000","澄恩牙體技術所","新北市永和區保平路203巷9號1樓","Sam","335dcdaa-fb2a-81f5-92c2-e1d030d9f758","澄牙醫診所","0.323"
"55","234062","久源牙體技術所","新北市永和區中山路1段339號2F","matched_update","0.907","1.000","0.550","1.000","久源牙體技術所","新北市永和區中山路1段339號2樓","Sam","335dcdaa-fb2a-815c-9b99-ecfa2fa23040","長久牙體技術所","0.350"
"56","234064","詠順技工所","新北市永和區福和路309巷14弄7號5樓","matched_update","1.040","1.000","1.000","1.000","詠順牙體技術所","新北市永和區福和路309巷14弄7號5樓","Sam","33cdcdaa-fb2a-8153-877a-ee8cb196278a","詠德牙體技術所","0.350"
"57","234072","博士牙體技術所","新北市永和區得和路123號2樓","matched_update","1.040","1.000","1.000","1.000","博士牙體技術所","新北市永和區得和路123號2樓","Sam","33cdcdaa-fb2a-81a8-9060-c12140c8785c","博士牙醫診所","0.640"
