row,source_name,notion_name,notion_page_id,result,reason
"11","村松牙體技術所","村松牙體技術所","335dcdaa-fb2a-8139-8579-ecc2e5b988a2","updated","負責業務改為 Sam"
"14","鼎將技工所(詹先生)","鼎將牙體技術所","335dcdaa-fb2a-8184-b5e8-d7d44414f49e","updated","負責業務改為 Sam"
"25","威登牙體技術所","威登數位牙體技術所","335dcdaa-fb2a-816b-80e2-d708445145c0","updated","負責業務改為 Sam"
"27","奇技牙體技術所","奇技牙體技術所","335dcdaa-fb2a-81d4-8839-c2666ca4f574","updated","負責業務改為 Sam"
"36","億昇牙體技術所(張世祥先生)","億昇牙體技術所","336dcdaa-fb2a-8165-9b5d-ed9141ef1489","updated","負責業務改為 Sam"
"37","仁傑技工所(李文傑)","仁傑牙體技術所","336dcdaa-fb2a-8184-9ac8-e85b0d183582","updated","負責業務改為 Sam"
"40","尚好技工所-歇業","上好牙體技術所","335dcdaa-fb2a-819f-a915-da12ff7f5da9","updated","負責業務改為 Sam"
"47","育全技工所(鄧先生)","育全牙體技術所","335dcdaa-fb2a-81b8-a8b0-cfea7f5a6d0c","updated","負責業務改為 Sam"
"50","寰宇牙醫診所","寰宇牙醫診所","335dcdaa-fb2a-8146-8050-d10835b91c53","skipped","配對問題，依指示跳過"
"54","澄恩牙體技術所(吳先生)","澄恩牙體技術所","335dcdaa-fb2a-81f5-92c2-e1d030d9f758","updated","負責業務改為 Sam"
"72","富鴻牙體技術所(林沿洲先生)","富鴻牙體技術所","336dcdaa-fb2a-81ca-aed0-df4bb18b3fcf","updated","負責業務改為 Sam"
"77","齒匠技工所(林世能先生)","齒匠牙體技術所","336dcdaa-fb2a-8192-9137-c17e96759da7","updated","負責業務改為 Sam"
"81","精品技研所(統合)","精品牙體技術所","335dcdaa-fb2a-81db-8715-e99c486ad5a4","updated","負責業務改為 Sam"
"91","雲啟牙體技術所","雲起牙體技術所","335dcdaa-fb2a-81da-bc6f-efb0aa893e5c","updated","負責業務改為 Sam"
"93","盛景牙體技術所(鈺程)","盛景牙體技術所","335dcdaa-fb2a-816a-9a68-ca737ee03364","updated","負責業務改為 Sam"
"95","晶創牙體技術所(李偉新先生)","晶創牙體技術所","335dcdaa-fb2a-811f-ab66-c398878ead3e","updated","負責業務改為 Sam"
"99","永新技工所(李建毅先生)","永新牙體技術所","336dcdaa-fb2a-8100-a0eb-e123341241b2","updated","負責業務改為 Sam"
"101","益德技工所(翁宗德先生)","益德牙體技術所","336dcdaa-fb2a-8106-9312-e2c659d69790","updated","負責業務改為 Sam"
"107","森齒研牙體技術所","森齒研牙體技術所","335dcdaa-fb2a-81d4-948c-c71a33577471","updated","負責業務改為 Sam"
"110","聯大牙體技術所(蘆洲)","聯大牙體技術所","335dcdaa-fb2a-81cc-9790-c317b7848ac8","updated","負責業務改為 Sam"
"114","品劼齒科技工所","品劼牙體技術所","335dcdaa-fb2a-81a5-8c01-faad0225169c","updated","負責業務改為 Sam"
"119","榮興牙體技術所(李家文先生)","榮興牙體技術所","335dcdaa-fb2a-81c1-b9ef-ca80e5b7ebda","updated","負責業務改為 Sam"
"128","鴻文牙體技術所","鴻文牙體技術所","335dcdaa-fb2a-8106-9c0d-e6b19fa355d9","updated","負責業務改為 Sam"
"130","喬恩牙體技術所","喬恩牙體技術所","335dcdaa-fb2a-8142-96be-c50d3fbd529d","updated","負責業務改為 Sam"
"133","慶昇牙體技術所","慶昇牙體技術所","335dcdaa-fb2a-81db-b69f-e4caf880f170","updated","負責業務改為 Sam"
"137","雅德思牙醫診所","雅德思植牙美學牙醫診所","335dcdaa-fb2a-818b-b7d1-f177096ba699","updated","負責業務改為 Sam"
"138","永成技工所(張永堂先生)","永成牙體技術所","336dcdaa-fb2a-8159-9668-ecb1424750a8","updated","負責業務改為 Sam"
"155","天晟醫院","天成醫院","335dcdaa-fb2a-819d-b4c1-efeaebf28716","skipped","配對問題，依指示跳過"
"166","名揚技工所(陳貴宗先生)","名揚牙體技術所","336dcdaa-fb2a-814f-9988-f7e04b44ef68","updated","負責業務改為 Sam"
"172","捷安技工所(傅穗舟先生)","捷安牙體技術所","336dcdaa-fb2a-81a7-8715-fc63d93d2173","updated","負責業務改為 Sam"
"184","仁和牙科技工所","仁和牙科牙體技術所","336dcdaa-fb2a-8191-8302-e1e8bcf6f513","updated","負責業務改為 Sam"
"189","永新技工所(桃園)","永新牙體技術所","336dcdaa-fb2a-8163-add6-c2f944cef320","updated","負責業務改為 Sam"
"195","祥展牙體技術所(建泰)","祥展牙體技術所","336dcdaa-fb2a-81d5-903f-c8e54112c40f","updated","負責業務改為 Sam"
"197","昶勝牙體技術所(金典)","昶勝牙體技術所","335dcdaa-fb2a-819a-8f5e-d6d7731509ca","updated","負責業務改為 Sam"
"204","精工牙體技術所(劉先生)","精工牙體技術所","336dcdaa-fb2a-81a1-b751-f4ff897328e9","updated","負責業務改為 Sam"
