source_code,source_name,source_address,source_phone,action,target_name,target_page_id,created_page_id,created_type,created_city,created_district,created_address,notion_name,notion_page_id
"100061","志明牙醫診所","台北市中正區寧波西街80號","02-2396-8925","created_new_customer_owner_sam","","","397dcdaa-fb2a-81e2-a00a-c1e5b420cc36","牙醫診所","臺北市","中正區","臺北市中正區寧波西街80號","明浩牙體技術所","335dcdaa-fb2a-81a4-ab16-e9159d303e5f"
"106139","巫宜真醫師","台北市大安區敦化南路2段88號","(02)2709-3088","updated_existing_owner_to_sam","長青牙醫診所","335dcdaa-fb2a-813c-8d32-dea97e4b72ea","","","","","","長青牙醫診所","335dcdaa-fb2a-813c-8d32-dea97e4b72ea"
"220084","良德技工所","新北市板橋區中山路2段318巷20弄5號","0989-397789","created_new_customer_owner_sam","","","397dcdaa-fb2a-81f5-a47b-f2cacc74d465","牙體技術所","新北市","板橋區","新北市板橋區中山路2段318巷20弄5號","中和德威牙醫診所","335dcdaa-fb2a-8104-a535-c33c1d87ac4f"
"241064","品嘉技工所(羅文全先生)","新北市汐止區秀山路54號","0961-314-168","updated_existing_owner_to_sam","品嘉牙體技術所","335dcdaa-fb2a-814c-b3eb-d821f79e3416","","","","","","品嘉牙體技術所","335dcdaa-fb2a-814c-b3eb-d821f79e3416"
"247017","許新發","新北市蘆洲區民生街50號4樓","2848-3007 / 0939-940874","created_new_customer_owner_sam","","","397dcdaa-fb2a-8181-a9d5-d5d02409137e","個人","新北市","蘆洲區","新北市蘆洲區民生街50號4樓","新發牙體技術所","33cdcdaa-fb2a-8107-8a87-f9080ef474d0"
"300002","永旭牙體技術所(飛皇)","新竹市北區竹光路78巷11弄2號","03-5347732 / 0937-347732","updated_existing_owner_to_sam","永旭牙體技術所","335dcdaa-fb2a-8176-9c5b-dfb99533f262","","","","","","永旭牙體技術所","335dcdaa-fb2a-8176-9c5b-dfb99533f262"
"300059","協和牙體技術所","新竹市延平路1段23巷7號","0978-757-782","created_new_customer_owner_sam","","","397dcdaa-fb2a-8142-bcc9-f8c9df169123","牙體技術所","新竹市","北區","新竹市北區延平路1段23巷7號","和美牙體技術所","336dcdaa-fb2a-81ac-9388-f6a80e049041"
"300060","陳先生(桃園)","桃園市長春路35號6樓之6","0975-253546","updated_existing_owner_to_sam","陳先生","336dcdaa-fb2a-8192-b003-c2013552702b","","","","","","陳先生","336dcdaa-fb2a-8192-b003-c2013552702b"
"300067","立新牙體技術所","新竹市延平路1段317巷83弄11號","0937-150380","created_new_customer_owner_sam","","","397dcdaa-fb2a-815f-a3d2-e4e5bf65aae8","牙體技術所","新竹市","北區","新竹市北區延平路1段317巷83弄11號","新研牙體技術所","335dcdaa-fb2a-81dc-bd61-df4267fc414e"
"328004","鴻興牙體技術所","桃園市觀音區中正路293巷2號","0935-310-325","created_new_customer_owner_sam","","","397dcdaa-fb2a-8146-84cc-db50821b6de5","牙體技術所","桃園市","觀音區","桃園市觀音區中正路293巷2號","興安牙醫診所","335dcdaa-fb2a-814d-8d63-f63dd5d692c8"
"330054","林仲豪先生","桃園市大業路2段252號","0925-810830","created_new_customer_owner_sam","","","397dcdaa-fb2a-81f5-b61b-e52dbd465bc8","個人","桃園市","桃園區","桃園市桃園區大業路2段252號","上林牙醫診所","335dcdaa-fb2a-81ba-9ea0-f796edf7ee74"
"330056","風采矯正牙醫診所","桃園市中山路888號","(03)346-6620","updated_existing_owner_to_sam","風采美學牙醫診所","335dcdaa-fb2a-813a-af4a-dc5971424e26","","","","","","風采美學牙醫診所","335dcdaa-fb2a-813a-af4a-dc5971424e26"
"330080","銓鈦牙醫診所","桃園市桃園區春日路860號1樓","03-3466-468","updated_existing_owner_to_sam","詮鈦牙醫診所","335dcdaa-fb2a-81fe-9eca-d1efc1e68a99","","","","","","詮鈦牙醫診所","335dcdaa-fb2a-81fe-9eca-d1efc1e68a99"
