salesperson,customer_code,excel_name,excel_address,recheck_status,reason,score,name_score,address_score,notion_name,notion_address,notion_type,notion_code,notion_salesperson,notion_page_id,second_name,second_score
"Paul","100055","柯恩生醫師","","still_unmatched","相似度不足","0.310","0.453","0.000","柯牙醫診所","新北市中和區景安路78號1樓","牙醫診所","3731043023","H","335dcdaa-fb2a-81ab-9059-dead4eecf0fb","柯牙醫診所","0.310"
"Paul","106104","優瑞牙醫診所","臺北市安和路1段69號","review_needed","有相似候選但不足以自動確認","0.592","0.500","0.700","瑞誠牙醫診所","臺北市大安區安和路1段69號","牙醫診所","3701027235","","335dcdaa-fb2a-8186-9a99-dd11cc3d01be","優美牙醫診所","0.340"
"Paul","106105","敦南牙醫診所(仁愛路)","臺北市仁愛路4段4號3樓","still_unmatched","相似度不足","0.556","0.444","0.700","敦南牙醫聯合診所","臺北市大安區仁愛路4段4號3樓","牙醫診所","3701026167","公司","335dcdaa-fb2a-8170-8a09-cb092fc5afb7","仁愛心悅牙醫診所","0.502"
"Paul","108038","釉質技工所","臺北市萬華區漢口街二段73號11-5","found_in_notion","地址高度符合","1.020","1.000","1.000","釉質牙體技術所","臺北市萬華區漢口街二段73號11-5","牙體技術所","2Y01190101","Paul","335dcdaa-fb2a-81ee-b719-dcca6c795a75","本質牙醫診所","0.340"
"Paul","114055","艾瑞瓷精密股份有限公司-已歇業","","found_in_notion","名稱高度符合","0.640","1.000","0.000","艾瑞瓷精密股份有限公司","臺北市內湖區內湖路1段356號8樓","","","Paul","336dcdaa-fb2a-819b-a840-fec03905a17e","宏俊精密牙體技術所","0.304"
"Paul","115016","永豐技工所(吳先生)","臺北市南港區東新街108巷24號1樓","still_unmatched","相似度不足","0.523","0.787","0.000","永豐牙體技術所","桃園市中壢區龍昌路190巷81號1樓","牙體技術所","2Y32020054","","335dcdaa-fb2a-8123-a1a3-d7180edafc05","永豐牙醫診所","0.523"
"Paul","235076","邁思特科技有限公司","新北市中和區中山路2段351號5樓之13","found_in_notion","地址高度符合","0.380","0.000","1.000","歐登牙體技術所","新北市中和區中山路2段351號5樓之13","牙體技術所","2Y31040285","Paul","335dcdaa-fb2a-81a5-b838-f298f8233b9f","科技牙醫診所","0.353"
"Paul","260008","新生技工所","宜蘭市新生里大福路2段168號","found_in_notion","名稱高度符合","0.660","1.000","0.000","新生牙體技術所","臺北市北投區尊賢街218巷23弄10號5樓","牙體技術所","2Y01160014","Paul","335dcdaa-fb2a-810d-a980-c20d7304bc21","新生牙體技術所","0.660"
"Paul","260012","嘉鈺技工所","宜蘭市泰山路民族二巷12-2號","found_in_notion","地址高度符合","0.991","1.000","0.920","嘉鈺牙體技術所","宜蘭縣宜蘭市泰山路民族二巷12-2號","牙體技術所","2Y34010083","Paul","335dcdaa-fb2a-817a-9b63-fb2ad50d0b3a","晨鈺牙體技術所","0.340"
"Paul","261002","順源牙科","宜蘭縣頭城鎮頂埔路2段191號","found_in_notion","地址高度符合","0.777","0.620","1.000","順源牙醫診所","宜蘭縣頭城鎮頂埔路2段191號","牙醫診所","3734040033","Paul","335dcdaa-fb2a-8144-8800-e46926a4d6d8","順興牙科齒研","0.384"
