code,name,city,district,tech,trainee,head,phone,stage,url
"2Y01090124","達爾文牙體技術所","台北市","大同區","27","3","30","02-25560662","","https://app.notion.com/p/335dcdaafb2a81c0ac08d6f20833cf74"
"2Y32080167","優科牙體技術所","桃園市","八德區","8","2","10","03-3652806","","https://app.notion.com/p/335dcdaafb2a816996cded020bdb85ca"
"2Y31030010","惠洋牙體技術所","新北市","永和區","8","1","9","02-29282725","","https://app.notion.com/p/335dcdaafb2a81d087bbe6f219059802"
"2Y31120019","亞力瓏牙體技術所","新北市","瑞芳區","8","0","8","02-24968735","","https://app.notion.com/p/335dcdaafb2a81a1a4f6cb6ca0807dcc"
"2Y31030181","冠橋牙體技術所","新北市","永和區","5","2","7","02-29264957","","https://app.notion.com/p/335dcdaafb2a81f6b3c4fe825a9ad601"
"2Y31010045","佶慶牙體技術所","新北市","板橋區","5","2","7","02-2956-1633","","https://app.notion.com/p/335dcdaafb2a81f8974cef66e2b61107"
"2Y31130140","家家牙體技術所","新北市","土城區","5","2","7","02-22740530","","https://app.notion.com/p/335dcdaafb2a81f8a11ffa1143955868"
"2Y12010105","天野牙體技術所","新竹市","東區","7","0","7","03-5318111、0968654111","","https://app.notion.com/p/335dcdaafb2a81b38b81d426f88821c7"
"2Y31040212","旭達牙體技術所","新北市","中和區","6","0","6","02-82272500","","https://app.notion.com/p/335dcdaafb2a814d98abf85f55ba8355"
"2Y01090017","村松牙體技術所","台北市","大同區","2","4","6","25571792","","https://app.notion.com/p/335dcdaafb2a81398579ecc2e5b988a2"
"2Y31140048","京典牙體技術所","新北市","蘆洲區","1","4","5","(02)22829069","","https://app.notion.com/p/335dcdaafb2a818e9d04c5d97f0aee42"
"2Y32020296","吾同牙體技術所","桃園市","中壢區","5","0","5","03-4922137","","https://app.notion.com/p/335dcdaafb2a81958452eb9fc7069d5d"
"2Y31060367","達美數位牙體技術所","新北市","新莊區","5","0","5","02-25189220","","https://app.notion.com/p/335dcdaafb2a81cf99fdff0ec0daf09e"
"2Y31160013","璟儀牙體技術所","新北市","泰山區","3","2","5","02-85313703","","https://app.notion.com/p/335dcdaafb2a8121ae72d65e7d08b71d"
"2Y31140119","興鴻牙體技術所","新北市","蘆洲區","1","4","5","02-26188216","","https://app.notion.com/p/335dcdaafb2a81ec9235cf27df9720fd"
"2Y01100223","新高美牙體技術所","台北市","中山區","4","0","4","0921915565","","https://app.notion.com/p/335dcdaafb2a81f1ad8dc9c6e3f622dd"
"2Y32100011","佳美牙體技術所","桃園市","平鎮區","3","1","4","4923310","","https://app.notion.com/p/335dcdaafb2a81d086efda39e4f9adba"
"2Y32030014","禾廷牙體技術所","桃園市","大溪區","3","1","4","03-3909963","","https://app.notion.com/p/335dcdaafb2a81eeb707f97b222c8364"
"2Y01100081","鼎將牙體技術所","台北市","中山區","2","2","4","25182562","","https://app.notion.com/p/335dcdaafb2a8184b5e8d7d44414f49e"
"2Y32070125","伍壹宇宙牙體技術所","桃園市","龜山區","4","0","4","0929221656","","https://app.notion.com/p/335dcdaafb2a8158b1e6e1f0cfd793d5"
"2Y31080038","昱興牙體技術所","新北市","鶯歌區","3","1","4","26787669","","https://app.notion.com/p/335dcdaafb2a81588b39ece01bf4ef7c"
