code,name,city,district,tech,trainee,head,phone,stage,url
"2Y01090124","達爾文牙體技術所","台北市","大同區","27","3","30","02-25560662","","https://app.notion.com/p/335dcdaafb2a81c0ac08d6f20833cf74"
"2Y12010105","天野牙體技術所","新竹市","東區","7","0","7","03-5318111、0968654111","","https://app.notion.com/p/335dcdaafb2a81b38b81d426f88821c7"
"2Y31040150","恆藝牙體技術所","新北市","中和區","1","3","4","02-29400818","","https://app.notion.com/p/335dcdaafb2a81dcb8edf422d5b0c330"
"2Y31030029","信全牙體技術所","新北市","永和區","1","3","4","02-29251387","","https://app.notion.com/p/335dcdaafb2a816fa123ced3c754d2e0"
"2Y31060143","捷登牙體技術所","新北市","新莊區","0","3","3","29041482 / 02-29041482 / 0932-348930","","https://app.notion.com/p/335dcdaafb2a81e1a734d058e05c8644"
"2Y12040112","上捷卓成牙體技術所","新竹市","北區","2","1","3","0955473882","","https://app.notion.com/p/335dcdaafb2a8174a1f5f162e376b8c2"
"2Y34010092","合田牙體技術所","宜蘭縣","宜蘭市","0","3","3","03-9303506","","https://app.notion.com/p/335dcdaafb2a811aae85d92b8aa6b351"
"2Y01160023","雅光牙體技術所","台北市","北投區","1","2","3","28924436","","https://app.notion.com/p/335dcdaafb2a812aa620fe4d3c5e4625"
"2Y32020269","格瑞特牙體技術所","桃園市","中壢區","3","0","3","03-4367671","","https://app.notion.com/p/335dcdaafb2a81b98fc3e5469589cce3"
"2Y32010272","奕崴牙體技術所","桃園市","桃園區","2","1","3","03-3165355","","https://app.notion.com/p/335dcdaafb2a81188b5cd9ec1512d682"
"2Y32040029","承峰牙體技術所","桃園市","楊梅區","2","1","3","03-4882959","","https://app.notion.com/p/335dcdaafb2a815db9b3f789af94c2de"
"2Y31020041","龍記牙體技術所","新北市","三重區","1","2","3","2981-0358","","https://app.notion.com/p/335dcdaafb2a81c9af86e679b93f2de7"
"2Y12010123","立多牙體技術所","新竹市","東區","0","2","2","5625311","","https://app.notion.com/p/335dcdaafb2a8134b0d8fc78fd627c9b"
"2Y32070072","尚翊牙體技術所","桃園市","龜山區","2","0","2","0930663676","","https://app.notion.com/p/335dcdaafb2a81efb974c97b8fbcc7fe"
"2Y31040203","東華牙體技術所","新北市","中和區","1","1","2","0282457863","","https://app.notion.com/p/335dcdaafb2a81d09e8ac5aed4719206"
"2Y33060016","成功牙體技術所","新竹縣","湖口鄉","0","2","2","03-5906032","","https://app.notion.com/p/335dcdaafb2a81e5911cfc3f314e1079"
"2Y01010153","眾友牙體技術所","台北市","松山區","2","0","2","0916750682","","https://app.notion.com/p/335dcdaafb2a8189b5f0d709f61cd323"
"2Y32010478","鑫隆牙體技術所","桃園市","桃園區","2","0","2","0988953311","","https://app.notion.com/p/335dcdaafb2a81f7bac5cd5220a12e82"
"2Y33080027","品辰牙體技術所","新竹縣","新豐鄉","1","1","2","03-5688220","","https://app.notion.com/p/335dcdaafb2a8174bfe0ee9aece02aca"
"2Y31130051","詠慶牙體技術所","新北市","土城區","0","1","1","82623285","","https://app.notion.com/p/335dcdaafb2a813aaf4ce48285f9fb0b"
"2Y31010358","歐格牙體技術所","新北市","板橋區","1","0","1","(02) 8953-7475","","https://app.notion.com/p/335dcdaafb2a81e086b0e649cc1357c1"
"2Y34100028","三立牙體技術所","宜蘭縣","三星鄉","0","1","1","03-9899805","","https://app.notion.com/p/335dcdaafb2a810ba489fc9f0a2ba851"
"2Y31130033","志盛牙體技術所","新北市","土城區","1","0","1","02-22643390","","https://app.notion.com/p/335dcdaafb2a8183999ce1229a5b2813"
"2Y31020505","喬宇牙體技術所","新北市","三重區","0","1","1","02-29750913","","https://app.notion.com/p/335dcdaafb2a81c38da3cfe97db7fee0"
"2Y32020143","群昇牙體技術所","桃園市","中壢區","0","1","1","03-4510785","","https://app.notion.com/p/335dcdaafb2a81fbb38de3e6e62e7408"
"2Y32080112","大明牙體技術所","桃園市","八德區","0","1","1","0910-055584","","https://app.notion.com/p/335dcdaafb2a816e8303cbb7745dd56d"
"2Y32040118","千陽牙體技術所","桃園市","楊梅區","1","0","1","0989893804","","https://app.notion.com/p/335dcdaafb2a81659e82d44fea840869"
"2Y32010503","維斯牙體技術所","桃園市","桃園區","1","0","1","0920618344","","https://app.notion.com/p/335dcdaafb2a81c39bb9c9a846d6a5fc"
"2Y31070069","利昌牙體技術所","新北市","樹林區","1","0","1","0931869869","","https://app.notion.com/p/335dcdaafb2a813ca2e4eeffad5f1a7b"
"2Y32100164","佳欣牙體技術所","桃園市","平鎮區","0","1","1","00955216779","","https://app.notion.com/p/335dcdaafb2a81a28d19c252786f30d8"
"2Y01110096","柏青牙體技術所","台北市","內湖區","1","0","1","26339091","","https://app.notion.com/p/335dcdaafb2a8136a43cc36d725e9f86"
"2Y01110041","全亞牙體技術所","台北市","內湖區","0","1","1","2799-0887","","https://app.notion.com/p/335dcdaafb2a81c9a9cbf833b6ed7fd4"
"2Y31010554","日新牙體技術所","新北市","板橋區","0","1","1","02-26872572","","https://app.notion.com/p/335dcdaafb2a8172aa9df88ca249068a"
"2Y31040123","北翔牙體技術所","新北市","中和區","0","1","1","0222400601","","https://app.notion.com/p/335dcdaafb2a811aae87f67b56d189ad"
"2Y12010196","芯沐牙體技術所","新竹市","東區","1","0","1","0938-840121","","https://app.notion.com/p/335dcdaafb2a810ba866d2fdbe05bb06"
"2Y01090106","艾文牙體技術所","台北市","大同區","0","1","1","0936988956","","https://app.notion.com/p/335dcdaafb2a81c3a3cdf7b51d7068f3"
"2Y31010223","超然牙體技術所","新北市","板橋區","0","1","1","02-22590455","","https://app.notion.com/p/335dcdaafb2a8151a7a2f86372b28cda"
"2Y31110086","哲辰牙體技術所","新北市","汐止區","0","1","1","0912505233","","https://app.notion.com/p/335dcdaafb2a813ea4b5d1c8b4a42072"
"2Y31130122","兆匯牙體技術所","新北市","土城區","1","0","1","(02)22669582","","https://app.notion.com/p/335dcdaafb2a81a7ab51cf44d39b349c"
"2Y31140057","泰安牙體技術所","新北市","蘆洲區","0","1","1","02-28471337","","https://app.notion.com/p/335dcdaafb2a81f6b0d3f3b37b6a1a94"
"2Y31020247","力橋牙體技術所","新北市","三重區","0","1","1","02-8981-2977","","https://app.notion.com/p/335dcdaafb2a8195895cf302790f6640"
"2Y31060465","優樂牙體技術所","新北市","新莊區","1","0","1","0","","https://app.notion.com/p/335dcdaafb2a8114932ad4183f6221ab"
"2Y31060456","裕豐牙體技術所","新北市","新莊區","0","1","1","02-89530966","","https://app.notion.com/p/335dcdaafb2a81a2a7e5d4f392dd145b"
"2Y01010046","瀨上牙體技術所","台北市","松山區","1","0","1","27527987","","https://app.notion.com/p/335dcdaafb2a81f19cb8fb5d4e7db2f6"
"2Y31040249","優藝牙體技術所","新北市","中和區","0","1","1","0229439990","","https://app.notion.com/p/335dcdaafb2a81a9a270f3488560a8b5"
