code,name,city,district,tech,trainee,head,phone,stage,url
"2Y32080167","優科牙體技術所","桃園市","八德區","8","2","10","03-3652806","","https://app.notion.com/p/335dcdaafb2a816996cded020bdb85ca"
"2Y31030010","惠洋牙體技術所","新北市","永和區","8","1","9","02-29282725","","https://app.notion.com/p/335dcdaafb2a81d087bbe6f219059802"
"2Y31120019","亞力瓏牙體技術所","新北市","瑞芳區","8","0","8","02-24968735","","https://app.notion.com/p/335dcdaafb2a81a1a4f6cb6ca0807dcc"
"2Y31030181","冠橋牙體技術所","新北市","永和區","5","2","7","02-29264957","","https://app.notion.com/p/335dcdaafb2a81f6b3c4fe825a9ad601"
"2Y31010045","佶慶牙體技術所","新北市","板橋區","5","2","7","02-2956-1633","","https://app.notion.com/p/335dcdaafb2a81f8974cef66e2b61107"
"2Y31130140","家家牙體技術所","新北市","土城區","5","2","7","02-22740530","","https://app.notion.com/p/335dcdaafb2a81f8a11ffa1143955868"
"2Y31040212","旭達牙體技術所","新北市","中和區","6","0","6","02-82272500","","https://app.notion.com/p/335dcdaafb2a814d98abf85f55ba8355"
"2Y01090017","村松牙體技術所","台北市","大同區","2","4","6","25571792","","https://app.notion.com/p/335dcdaafb2a81398579ecc2e5b988a2"
"2Y31140048","京典牙體技術所","新北市","蘆洲區","1","4","5","(02)22829069","","https://app.notion.com/p/335dcdaafb2a818e9d04c5d97f0aee42"
"2Y32020296","吾同牙體技術所","桃園市","中壢區","5","0","5","03-4922137","","https://app.notion.com/p/335dcdaafb2a81958452eb9fc7069d5d"
"2Y31060367","達美數位牙體技術所","新北市","新莊區","5","0","5","02-25189220","","https://app.notion.com/p/335dcdaafb2a81cf99fdff0ec0daf09e"
"2Y31160013","璟儀牙體技術所","新北市","泰山區","3","2","5","02-85313703","","https://app.notion.com/p/335dcdaafb2a8121ae72d65e7d08b71d"
"2Y31140119","興鴻牙體技術所","新北市","蘆洲區","1","4","5","02-26188216","","https://app.notion.com/p/335dcdaafb2a81ec9235cf27df9720fd"
"2Y01100223","新高美牙體技術所","台北市","中山區","4","0","4","0921915565","","https://app.notion.com/p/335dcdaafb2a81f1ad8dc9c6e3f622dd"
"2Y32100011","佳美牙體技術所","桃園市","平鎮區","3","1","4","4923310","","https://app.notion.com/p/335dcdaafb2a81d086efda39e4f9adba"
"2Y32030014","禾廷牙體技術所","桃園市","大溪區","3","1","4","03-3909963","","https://app.notion.com/p/335dcdaafb2a81eeb707f97b222c8364"
"2Y01100081","鼎將牙體技術所","台北市","中山區","2","2","4","25182562","","https://app.notion.com/p/335dcdaafb2a8184b5e8d7d44414f49e"
"2Y32070125","伍壹宇宙牙體技術所","桃園市","龜山區","4","0","4","0929221656","","https://app.notion.com/p/335dcdaafb2a8158b1e6e1f0cfd793d5"
"2Y31080038","昱興牙體技術所","新北市","鶯歌區","3","1","4","26787669","","https://app.notion.com/p/335dcdaafb2a81588b39ece01bf4ef7c"
"2Y31040310","新美牙體技術所","新北市","中和區","3","1","4","0282280900","","https://app.notion.com/p/335dcdaafb2a811088d0fe0efd2760e5"
"2Y31010581","唯臻牙體技術所","新北市","板橋區","3","0","3","02-29643181","","https://app.notion.com/p/335dcdaafb2a817a8254f253ee039eb0"
"2Y31060161","可騰牙體技術所","新北市","新莊區","1","2","3","89931260","","https://app.notion.com/p/335dcdaafb2a8193b633d445a655d730"
"2Y31010518","佳正牙體技術所","新北市","板橋區","2","1","3","(02) 2954-5252","","https://app.notion.com/p/335dcdaafb2a816ea6bed68a25db101b"
"2Y32010085","文旺牙體技術所","桃園市","桃園區","2","1","3","03-3258030","","https://app.notion.com/p/335dcdaafb2a81a5aaf6dddbf441dfd4"
"2Y01170038","力儀牙體技術所","台北市","信義區","2","1","3","27235196","","https://app.notion.com/p/335dcdaafb2a81859cc7d863ccb5d94f"
"2Y31010036","美加牙體技術所","新北市","板橋區","3","0","3","02-2956-6092","","https://app.notion.com/p/335dcdaafb2a8118b675c91ac27240fa"
"2Y31020489","詠信牙體技術所","新北市","三重區","2","1","3","02-27790460","","https://app.notion.com/p/335dcdaafb2a81a9879ae32f3c90d113"
"2Y31130131","綠毛蟲牙體技術所","新北市","土城區","1","2","3","(02)2260-6101","","https://app.notion.com/p/335dcdaafb2a81d88ad3f1267ea9bc5e"
"2Y01100321","九大牙體技術所","台北市","中山區","2","1","3","2521-2825","","https://app.notion.com/p/335dcdaafb2a8132a0e9cc8f338c0a3d"
"2Y31040105","建合牙體技術所","新北市","中和區","1","2","3","02-22403216","","https://app.notion.com/p/335dcdaafb2a814da23dd725fcad7a26"
"2Y32010441","新境牙體技術所","桃園市","桃園區","3","0","3","0983546061","","https://app.notion.com/p/335dcdaafb2a8108af09e8510ca76a5d"
"2Y31060027","惠安牙體技術所","新北市","新莊區","2","1","3","22014582","","https://app.notion.com/p/335dcdaafb2a813ab987daa3ab692228"
"2Y31040409","中二牙體技術所","新北市","中和區","3","0","3","0222462435","","https://app.notion.com/p/335dcdaafb2a8139b062d85df82ddcfc"
"2Y01100303","迪歐數位牙體技術所","台北市","中山區","3","0","3","02-87523319.02-27811010","","https://app.notion.com/p/335dcdaafb2a815985a5e0f04f6596cc"
"2Y01020113","明浩牙體技術所","台北市","大安區","3","0","3","02-27384789","","https://app.notion.com/p/335dcdaafb2a81a4ab16e9159d303e5f"
"2Y33050074","豪成牙體技術所","新竹縣","竹北市","3","0","3","03-5979861","","https://app.notion.com/p/335dcdaafb2a814fa044f8c00f9555db"
"2Y31010367","加曜牙體技術所","新北市","板橋區","2","1","3","02-2951-5646","","https://app.notion.com/p/335dcdaafb2a81df8deecfc7c8af9329"
"2Y31040329","弘邑齒牙牙體技術所","新北市","中和區","1","2","3","0930000758","","https://app.notion.com/p/335dcdaafb2a817faa80c86e50568c36"
"2Y32010021","康瓷美牙體技術所","桃園市","桃園區","3","0","3","03-3563139","","https://app.notion.com/p/335dcdaafb2a81c9aedbcaeb20e0e441"
"2Y01090062","上和牙體技術所","台北市","大同區","3","0","3","25997784","","https://app.notion.com/p/335dcdaafb2a81b6970bed5aea38a9f6"
"2Y31060401","美創牙體技術所","新北市","新莊區","2","1","3","2902-1901","","https://app.notion.com/p/335dcdaafb2a8175aa9eced7ae4877a5"
"2Y01090197","丞啓牙體技術所","台北市","大同區","2","1","3","0928013177","","https://app.notion.com/p/335dcdaafb2a8113b5afc6aecfea3c1f"
"2Y31140324","鑫昇牙體技術所","新北市","蘆洲區","0","2","2","0937958245","","https://app.notion.com/p/335dcdaafb2a819b8387f791f1ee20a7"
"2Y32100262","高品辰新牙體技術所","桃園市","平鎮區","1","1","2","03-4020668","","https://app.notion.com/p/335dcdaafb2a8103b039c04852d49947"
"2Y32020189","完美牙體技術所","桃園市","中壢區","1","1","2","03-4635896","","https://app.notion.com/p/335dcdaafb2a81958440c14c3edb4b1d"
"2Y31090025","雲端數位牙體技術所","新北市","三峽區","2","0","2","02-26741999","","https://app.notion.com/p/335dcdaafb2a81b7996ce9f5ee9c9d2e"
"2Y31140333","仕林牙體技術所","新北市","蘆洲區","2","0","2","22852713","","https://app.notion.com/p/335dcdaafb2a81fa8275f8369f542a2d"
"2Y32040092","台豐牙體技術所","桃園市","楊梅區","1","1","2","03-4816709","","https://app.notion.com/p/335dcdaafb2a811193c7e157096b2442"
"2Y31010081","冠億牙體技術所","新北市","板橋區","0","2","2","02-22596513","","https://app.notion.com/p/335dcdaafb2a8150a72de3f7bc1babde"
"2Y31020176","瀚誠牙體技術所","新北市","三重區","1","1","2","29856025","","https://app.notion.com/p/335dcdaafb2a81be98bde3dada916757"
"2Y31010287","銘宏牙體技術所","新北市","板橋區","1","1","2","02-2955-9603","","https://app.notion.com/p/335dcdaafb2a81efa04bffc5f8b441e0"
"2Y01100278","登特萊牙體技術所","台北市","中山區","2","0","2","","","https://app.notion.com/p/335dcdaafb2a81778120f4d7219469c6"
"2Y31060394","舒適美數位牙體技術所","新北市","新莊區","1","1","2","02-85219132","","https://app.notion.com/p/335dcdaafb2a814dbbb7e826d0a5226c"
"2Y31130113","誠德牙體技術所","新北市","土城區","1","1","2","32348485","","https://app.notion.com/p/335dcdaafb2a81f5b4b2d7855287b2ca"
"2Y01010064","尚合牙體技術所","台北市","松山區","1","1","2","02-87129818","","https://app.notion.com/p/335dcdaafb2a812f840fe6fc34d5e94a"
"2Y32010325","京佳牙體技術所","桃園市","桃園區","1","1","2","03-3780910","","https://app.notion.com/p/335dcdaafb2a81708981d19c1d5cd0b9"
"2Y31160059","微美數位牙體技術所","新北市","泰山區","2","0","2","02-85122015","","https://app.notion.com/p/335dcdaafb2a814f8711fca82b02efc4"
"2Y01120074","松川牙體技術所","台北市","南港區","2","0","2","27838004","","https://app.notion.com/p/335dcdaafb2a81e58983d189e188cbfa"
"2Y31150053","日升牙體技術所","新北市","五股區","1","1","2","22925285","","https://app.notion.com/p/335dcdaafb2a81db8d99e374f1b60ff8"
"2Y31100035","成泰數位牙體技術所","新北市","淡水區","2","0","2","26216204","","https://app.notion.com/p/335dcdaafb2a81c29aeddfeb7c8caaf6"
"2Y32100020","國泰牙體技術所","桃園市","平鎮區","2","0","2","4918846","","https://app.notion.com/p/335dcdaafb2a8153b993c253d18a6d3a"
"2Y31010429","辰新牙體技術所","新北市","板橋區","2","0","2","(02) 2956-1838","","https://app.notion.com/p/335dcdaafb2a81fb84f8f1dd60651968"
"2Y01100312","舒服美牙體技術所","台北市","中山區","2","0","2","02-25505042","","https://app.notion.com/p/335dcdaafb2a81b8ac34f61d940aba74"
"2Y32040065","翰齡牙體技術所","桃園市","楊梅區","1","1","2","0921087186","","https://app.notion.com/p/335dcdaafb2a814299f6c16e35910ceb"
"2Y01160050","亞齊訢牙體技術所","台北市","北投區","0","2","2","0935002057","","https://app.notion.com/p/335dcdaafb2a812b8d6ada82d4ff1d7e"
"2Y01160032","薇風牙體技術所","台北市","北投區","1","1","2","29830007","","https://app.notion.com/p/335dcdaafb2a816f9696cda3d2686d11"
"2Y31020292","欣華牙體技術所","新北市","三重區","1","1","2","02-2980-1919","","https://app.notion.com/p/335dcdaafb2a810a86d1d3c745bc8c2c"
"2Y31040374","鈦和數位牙體技術所","新北市","中和區","1","1","2","0282276099","","https://app.notion.com/p/335dcdaafb2a811e91acf4576c8e004e"
"2Y12050029","新研牙體技術所","新竹市","香山區","1","1","2","035384270","","https://app.notion.com/p/335dcdaafb2a81dcbd61df4267fc414e"
"2Y31010312","澔橋牙體技術所","新北市","板橋區","2","0","2","02-2255-9997","","https://app.notion.com/p/335dcdaafb2a81d1842dd0018791cd5e"
"2Y31010134","祥仁牙體技術所","新北市","板橋區","0","2","2","02-29660383","","https://app.notion.com/p/335dcdaafb2a81729b5ef26b5493e18a"
"2Y32020116","啟鈺牙體技術所","桃園市","中壢區","1","1","2","03-4937865","","https://app.notion.com/p/335dcdaafb2a81d1a7b6e1d3d5252100"
"2Y31020167","永明牙體技術所","新北市","三重區","0","2","2","02-2286-5055","","https://app.notion.com/p/335dcdaafb2a81d2908af92b7bcbe906"
"2Y32010567","創鴻數位牙體技術所","桃園市","桃園區","2","0","2","03-3579666","","https://app.notion.com/p/335dcdaafb2a81738043f10441084b80"
"2Y31010410","維康牙體技術所","新北市","板橋區","2","0","2","(02) 8961-1471","","https://app.notion.com/p/335dcdaafb2a81e7bc75d4a356081543"
"2Y01160041","新全牙體技術所","台北市","北投區","1","1","2","02-28227508","","https://app.notion.com/p/335dcdaafb2a81119a55da91435f99cf"
"2Y33050065","微風數位牙體技術所","新竹縣","竹北市","2","0","2","03-5589911","","https://app.notion.com/p/335dcdaafb2a81f09b70d7c10c68344e"
"2Y32020205","巨辰牙體技術所","桃園市","中壢區","2","0","2","0983649048","","https://app.notion.com/p/335dcdaafb2a81e1953dd8be35c5ceaa"
"2Y31030207","喆強牙體技術所","新北市","永和區","1","1","2","0970053356","","https://app.notion.com/p/335dcdaafb2a816ea970e5420dd5bed1"
"2Y31130159","賀生牙體技術所","新北市","土城區","1","1","2","(02)2264-7722","","https://app.notion.com/p/335dcdaafb2a816aa44bfed5834a871c"
"2Y32030069","信植牙體技術所","桃園市","大溪區","0","2","2","0917684338","","https://app.notion.com/p/335dcdaafb2a818b9fc2c4e23d458c46"
"2Y01100250","哲安牙體技術所","台北市","中山區","1","1","2","0910643815","","https://app.notion.com/p/335dcdaafb2a817db2ecc871a5c18234"
"2Y31060054","上立齒技牙體技術所","新北市","新莊區","1","1","2","29928964","","https://app.notion.com/p/335dcdaafb2a8156a11dd1a5ad11f74a"
"2Y31030270","晨露牙體技術所","新北市","永和區","2","0","2","0978381621","","https://app.notion.com/p/335dcdaafb2a819b81a9eae5848e3cf1"
"2Y31080056","新叡牙體技術所","新北市","鶯歌區","2","0","2","02-26792051","","https://app.notion.com/p/335dcdaafb2a81309b9ce91c850298c2"
"2Y01090151","優仕牙體技術所","台北市","大同區","0","2","2","25927933","","https://app.notion.com/p/335dcdaafb2a81fea6cbcc0167281e4f"
"2Y32020054","永豐牙體技術所","桃園市","中壢區","0","2","2","(03)4362258","","https://app.notion.com/p/335dcdaafb2a8123a1a3d7180edafc05"
"2Y31170055","三井國際齒研牙體技術所","新北市","林口區","2","0","2","02-26006288","","https://app.notion.com/p/335dcdaafb2a816cb938c1376d6e3b34"
"2Y31130079","藝宣牙體技術所","新北市","土城區","1","1","2","22642466","","https://app.notion.com/p/335dcdaafb2a81a0802eff4d3743002c"
"2Y32040083","金彧牙體技術所","桃園市","楊梅區","2","0","2","0932598394","","https://app.notion.com/p/335dcdaafb2a81a99405c3eb8a50620f"
"2Y32080041","明昕牙體技術所","桃園市","八德區","1","1","2","0286653018","","https://app.notion.com/p/335dcdaafb2a810491aff47d5b579594"
