code,name,city,district,tech,trainee,head,phone,address,sp,url
"2Y31140342","勝億牙體技術所","新北市","蘆洲區","9","0","9","28480757","新北市蘆洲區集賢路393號11樓","Paul","https://app.notion.com/p/335dcdaafb2a81bb9f37ff6a7ec44246"
"2Y01090071","上揚牙體技術所","台北市","大同區","4","2","6","02-25996566","臺北市大同區重慶北路3段278-2號3樓","Sam","https://app.notion.com/p/335dcdaafb2a81e1b276df391d320919"
"2Y01100143","名典牙體技術所","台北市","中山區","5","1","6","0936207001","臺北市中山區新生北路三段88巷11號2樓","Eason","https://app.notion.com/p/335dcdaafb2a8117bcc8f7b62f2cc044"
"2Y32020045","信安牙體技術所","桃園市","中壢區","0","4","4","03-4207566","桃園市中壢區松平路228巷8號1樓","Sam","https://app.notion.com/p/335dcdaafb2a81e4b1b1f5a624b13c8b"
"2Y31140379","森齒研牙體技術所","新北市","蘆洲區","4","0","4","0985977539","新北市蘆洲區中山一路284號7樓","Eason","https://app.notion.com/p/335dcdaafb2a81d4948cc71a33577471"
"2Y31020023","世華城牙體技術所","新北市","三重區","4","0","4","0928094663","新北市三重區洛陽街47號1樓","Paul","https://app.notion.com/p/335dcdaafb2a81ac86ccf28dc9861ddc"
"2Y34050014","永固牙體技術所","宜蘭縣","礁溪鄉","2","2","4","03-9285061","宜蘭縣礁溪鄉龍泉路250號","Sam","https://app.notion.com/p/335dcdaafb2a81809e61cb13e4c338d5"
"2Y33020049","海爾牙體技術所","新竹縣","新埔鎮","2","1","3","0912141403","新竹縣新埔鎮信義二街29巷5號2樓","Hank","https://app.notion.com/p/335dcdaafb2a81dd88bbcd7a0fee1c85"
"2Y31060474","妍臼牙體技術所","新北市","新莊區","3","0","3","02-29966285","新北市新莊區中港路307號4樓","Edward","https://app.notion.com/p/335dcdaafb2a8131894dd8e1cfc10d24"
"2Y34020043","橙色牙體技術所","宜蘭縣","羅東鎮","1","2","3","03-9560105","宜蘭縣羅東鎮博愛路94巷23號","Hank","https://app.notion.com/p/335dcdaafb2a8155a47ee37b6fcd2bc2"
"2Y34020025","一心牙體技術所","宜蘭縣","羅東鎮","0","3","3","03-9558339","宜蘭縣羅東鎮成功街129號","Paul","https://app.notion.com/p/335dcdaafb2a81c3a9a6f940f783249c"
"2Y31040016","尚巧牙體技術所","新北市","中和區","2","1","3","0222426028","新北市中和區中山路二段３１７-１號２樓","Paul","https://app.notion.com/p/335dcdaafb2a81568a93f9515aa94e54"
"2Y12010178","悠樂美數位牙體技術所","新竹市","東區","2","1","3","03-5260165","新竹市東區中華路二段571號1樓","Hank","https://app.notion.com/p/335dcdaafb2a810a88acdc2310beea7e"
"2Y31060232","箐群牙體技術所","新北市","新莊區","2","1","3","85212958","新北市新莊區化成路764巷17號1樓","Sam","https://app.notion.com/p/335dcdaafb2a81a9bdd9d3b03ebc1035"
"2Y01120065","永春牙體技術所","台北市","南港區","2","1","3","0912640097","臺北市南港區成福路171巷22弄1號1樓","Duncan","https://app.notion.com/p/335dcdaafb2a81d6bf64db41c6d6072a"
"2Y32080194","藝圻牙體技術所","桃園市","八德區","1","1","2","0987065973","桃園市八德區介壽路2段325巷37號1樓","Sam","https://app.notion.com/p/335dcdaafb2a813f8cdef65c7a2b65fd"
"2Y32090029","若思威牙體技術所","桃園市","龍潭區","2","0","2","03-4093059","桃園市龍潭區中興路63巷14弄1街4號1樓","Sam","https://app.notion.com/p/335dcdaafb2a81a2a51ed22eca298ad4"
"2Y31020578","天誠牙體技術所","新北市","三重區","2","0","2","02-25177666","新北市三重區重新路四段65號5樓之10","Paul","https://app.notion.com/p/335dcdaafb2a817e8755dc5457368a3e"
"2Y31090034","暷溢牙體技術所","新北市","三峽區","1","1","2","02-89882659","新北市三峽區復興路101巷1弄53號1樓","Sam","https://app.notion.com/p/335dcdaafb2a8113bae8ff24075ee50d"
"2Y32060030","凱基牙體技術所","桃園市","大園區","2","0","2","03-3818917","桃園市大園區高鐵北路二段178號4樓","Sam","https://app.notion.com/p/335dcdaafb2a8154ab8bf9c66fe766b3"
"2Y31030038","建昌牙體技術所","新北市","永和區","0","2","2","02-29200889","新北市永和區永寧街129巷6號6樓","Eason","https://app.notion.com/p/335dcdaafb2a81609a26c8aa7ceccfb2"
"2Y12010061","慶昇牙體技術所","新竹市","東區","1","0","1","03-5620083","新竹市東區新光里明湖路213巷23弄8-1號2樓","Hank","https://app.notion.com/p/335dcdaafb2a81dbb69fe4caf880f170"
"2Y31060134","詠德牙體技術所","新北市","新莊區","0","1","1","22058370","新北市新莊區泰豐街16號1樓","Edward","https://app.notion.com/p/335dcdaafb2a812e9c8dd7f4048abe12"
"2Y01200111","運通牙體技術所","台北市","文山區","0","1","1","86631637","臺北市文山區仙岩路16巷26弄4號1樓","Hank","https://app.notion.com/p/335dcdaafb2a81e19457ecbc0e99ff10"
"2Y11010021","衛創牙體技術所","基隆市","中正區","1","0","1","02-24262162","基隆市中正區中正路102號8樓之1","Hank","https://app.notion.com/p/335dcdaafb2a81b7a582fa460f00eef4"
