code,name,city,district,tech,trainee,head,phone,address,sp,url
"2Y32080167","優科牙體技術所","桃園市","八德區","8","2","10","03-3652806","桃園市八德區豐成街58號3樓","","https://app.notion.com/p/335dcdaafb2a816996cded020bdb85ca"
"2Y01090017","村松牙體技術所","台北市","大同區","2","4","6","25571792","臺北市大同區重慶北路二段207號2樓之1","","https://app.notion.com/p/335dcdaafb2a81398579ecc2e5b988a2"
"2Y31040212","旭達牙體技術所","新北市","中和區","6","0","6","02-82272500","新北市中和區建一路186號7樓","","https://app.notion.com/p/335dcdaafb2a814d98abf85f55ba8355"
"2Y31140119","興鴻牙體技術所","新北市","蘆洲區","1","4","5","02-26188216","新北市蘆洲區環堤大道176號1樓","","https://app.notion.com/p/335dcdaafb2a81ec9235cf27df9720fd"
"2Y31160013","璟儀牙體技術所","新北市","泰山區","3","2","5","02-85313703","新北市泰山區泰林路2段579巷3號1樓","","https://app.notion.com/p/335dcdaafb2a8121ae72d65e7d08b71d"
"2Y31060367","達美數位牙體技術所","新北市","新莊區","5","0","5","02-25189220","新北市新莊區幸福東路62之1號3樓","","https://app.notion.com/p/335dcdaafb2a81cf99fdff0ec0daf09e"
"2Y32020296","吾同牙體技術所","桃園市","中壢區","5","0","5","03-4922137","桃園市中壢區中央西路二段86號1樓","","https://app.notion.com/p/335dcdaafb2a81958452eb9fc7069d5d"
"2Y31040310","新美牙體技術所","新北市","中和區","3","1","4","0282280900","新北市中和區建一路186號17樓之1","","https://app.notion.com/p/335dcdaafb2a811088d0fe0efd2760e5"
"2Y32070125","伍壹宇宙牙體技術所","桃園市","龜山區","4","0","4","0929221656","桃園市龜山區文青路175號13樓之6","","https://app.notion.com/p/335dcdaafb2a8158b1e6e1f0cfd793d5"
"2Y01100081","鼎將牙體技術所","台北市","中山區","2","2","4","25182562","臺北市中山區吉林路254之2號3樓","","https://app.notion.com/p/335dcdaafb2a8184b5e8d7d44414f49e"
"2Y32030014","禾廷牙體技術所","桃園市","大溪區","3","1","4","03-3909963","桃園市大溪區三元二街121巷96號4樓","","https://app.notion.com/p/335dcdaafb2a81eeb707f97b222c8364"
"2Y01100223","新高美牙體技術所","台北市","中山區","4","0","4","0921915565","臺北市中山區明水路636號3樓之2","","https://app.notion.com/p/335dcdaafb2a81f1ad8dc9c6e3f622dd"
"2Y01090197","丞啓牙體技術所","台北市","大同區","2","1","3","0928013177","臺北市大同區長安西路66號8樓之2","","https://app.notion.com/p/335dcdaafb2a8113b5afc6aecfea3c1f"
"2Y31060401","美創牙體技術所","新北市","新莊區","2","1","3","2902-1901","新北市新莊區富國路102號8樓","","https://app.notion.com/p/335dcdaafb2a8175aa9eced7ae4877a5"
"2Y01090062","上和牙體技術所","台北市","大同區","3","0","3","25997784","臺北市大同區昌吉街61巷11號","","https://app.notion.com/p/335dcdaafb2a81b6970bed5aea38a9f6"
"2Y32010021","康瓷美牙體技術所","桃園市","桃園區","3","0","3","03-3563139","桃園市桃園區南平路468號3樓","","https://app.notion.com/p/335dcdaafb2a81c9aedbcaeb20e0e441"
"2Y31040329","弘邑齒牙牙體技術所","新北市","中和區","1","2","3","0930000758","新北市中和區信義街11巷9號5樓","","https://app.notion.com/p/335dcdaafb2a817faa80c86e50568c36"
"2Y31010367","加曜牙體技術所","新北市","板橋區","2","1","3","02-2951-5646","新北市板橋區漢生東路313巷5號(1樓)","","https://app.notion.com/p/335dcdaafb2a81df8deecfc7c8af9329"
"2Y32040029","承峰牙體技術所","桃園市","楊梅區","2","1","3","03-4882959","桃園市楊梅區中山北路一段50巷20號1樓","公司","https://app.notion.com/p/335dcdaafb2a815db9b3f789af94c2de"
"2Y33050074","豪成牙體技術所","新竹縣","竹北市","3","0","3","03-5979861","新竹縣竹北市光明九路262號1樓","","https://app.notion.com/p/335dcdaafb2a814fa044f8c00f9555db"
"2Y32010272","奕崴牙體技術所","桃園市","桃園區","2","1","3","03-3165355","桃園市桃園區大有路508號7樓","公司","https://app.notion.com/p/335dcdaafb2a81188b5cd9ec1512d682"
"2Y01020113","明浩牙體技術所","台北市","大安區","3","0","3","02-27384789","臺北市大安區臥龍街1號5樓之1","","https://app.notion.com/p/335dcdaafb2a81a4ab16e9159d303e5f"
"2Y01100303","迪歐數位牙體技術所","台北市","中山區","3","0","3","02-87523319.02-27811010","臺北市中山區松江路42號11樓之12","","https://app.notion.com/p/335dcdaafb2a815985a5e0f04f6596cc"
"2Y31040409","中二牙體技術所","新北市","中和區","3","0","3","0222462435","新北市中和區中山路二段238號2樓","","https://app.notion.com/p/335dcdaafb2a8139b062d85df82ddcfc"
"2Y32010441","新境牙體技術所","桃園市","桃園區","3","0","3","0983546061","桃園市桃園區南豐街246號1樓","","https://app.notion.com/p/335dcdaafb2a8108af09e8510ca76a5d"
"2Y01170038","力儀牙體技術所","台北市","信義區","2","1","3","27235196","臺北市信義區莊敬路391巷2弄20號(1樓)","","https://app.notion.com/p/335dcdaafb2a81859cc7d863ccb5d94f"
"2Y32010085","文旺牙體技術所","桃園市","桃園區","2","1","3","03-3258030","桃園市桃園區同安街98號1樓","","https://app.notion.com/p/335dcdaafb2a81a5aaf6dddbf441dfd4"
"2Y31060161","可騰牙體技術所","新北市","新莊區","1","2","3","89931260","新北市新莊區福壽街169巷16弄4號1樓","","https://app.notion.com/p/335dcdaafb2a8193b633d445a655d730"
"2Y01020257","全瓷工坊牙體技術所","台北市","大安區","2","0","2","02-87710633","臺北市大安區復興南路1段200號4樓之1","","https://app.notion.com/p/395dcdaafb2a81989b2acf6c8f558c64"
"2Y32020303","曜澄牙體技術所","桃園市","中壢區","2","0","2","034682530","桃園市中壢區龍岡路三段243巷73弄1號","","https://app.notion.com/p/335dcdaafb2a81f9819ddf42252f375c"
"2Y31060241","御信牙體技術所","新北市","新莊區","0","2","2","22060900","新北市新莊區瓊林路瓊英巷6弄12號1樓","","https://app.notion.com/p/335dcdaafb2a81dea9cfd6aafcbf18ab"
"2Y31010447","崧皓牙體技術所","新北市","板橋區","0","2","2","(02) 29576731","新北市板橋區重慶路305號7樓","","https://app.notion.com/p/335dcdaafb2a816d9d75f5fddcce80db"
"2Y33080027","品辰牙體技術所","新竹縣","新豐鄉","1","1","2","03-5688220","新竹縣新豐鄉新豐村池府路23號","公司","https://app.notion.com/p/335dcdaafb2a8174bfe0ee9aece02aca"
"2Y01170010","鼎立牙體技術所","台北市","信義區","1","1","2","27325107","臺北市信義區吳興街284巷22弄94號2樓","","https://app.notion.com/p/335dcdaafb2a81919ac8cc89696119c4"
"2Y01120010","吉美牙體技術所","台北市","南港區","1","1","2","26536269","臺北市南港區研究院路二段2巷10弄6號","","https://app.notion.com/p/335dcdaafb2a819584c9e7b40b40150d"
"2Y32080041","明昕牙體技術所","桃園市","八德區","1","1","2","0286653018","桃園市八德區富榮街290巷37號1樓、2樓","","https://app.notion.com/p/335dcdaafb2a810491aff47d5b579594"
"2Y32040083","金彧牙體技術所","桃園市","楊梅區","2","0","2","0932598394","桃園市楊梅區民富路3段924巷35號1樓","","https://app.notion.com/p/335dcdaafb2a81a99405c3eb8a50620f"
"2Y31130079","藝宣牙體技術所","新北市","土城區","1","1","2","22642466","新北市土城區延和路105巷1弄5號8樓","","https://app.notion.com/p/335dcdaafb2a81a0802eff4d3743002c"
"2Y32010478","鑫隆牙體技術所","桃園市","桃園區","2","0","2","0988953311","桃園市桃園區中山東路29號3樓之3","公司","https://app.notion.com/p/335dcdaafb2a81f7bac5cd5220a12e82"
"2Y32020054","永豐牙體技術所","桃園市","中壢區","0","2","2","(03)4362258","桃園市中壢區龍昌路190巷81號1樓","","https://app.notion.com/p/335dcdaafb2a8123a1a3d7180edafc05"
"2Y31030270","晨露牙體技術所","新北市","永和區","2","0","2","0978381621","新北市永和區永和路一段228號3樓之1","","https://app.notion.com/p/335dcdaafb2a819b81a9eae5848e3cf1"
"2Y01010153","眾友牙體技術所","台北市","松山區","2","0","2","0916750682","臺北市松山區敦化南路1段69號4樓","公司","https://app.notion.com/p/335dcdaafb2a8189b5f0d709f61cd323"
"2Y31060054","上立齒技牙體技術所","新北市","新莊區","1","1","2","29928964","新北市新莊區中正路145之22號7樓","","https://app.notion.com/p/335dcdaafb2a8156a11dd1a5ad11f74a"
"2Y32030069","信植牙體技術所","桃園市","大溪區","0","2","2","0917684338","桃園市大溪區東二路76號1樓","","https://app.notion.com/p/335dcdaafb2a818b9fc2c4e23d458c46"
"2Y33060016","成功牙體技術所","新竹縣","湖口鄉","0","2","2","03-5906032","新竹縣湖口鄉德興路72號1樓","公司","https://app.notion.com/p/335dcdaafb2a81e5911cfc3f314e1079"
"2Y31130159","賀生牙體技術所","新北市","土城區","1","1","2","(02)2264-7722","新北市土城區金城路三段149巷4弄11號1樓","","https://app.notion.com/p/335dcdaafb2a816aa44bfed5834a871c"
"2Y31030207","喆強牙體技術所","新北市","永和區","1","1","2","0970053356","新北市永和區保平路111巷5號1樓","","https://app.notion.com/p/335dcdaafb2a816ea970e5420dd5bed1"
"2Y31010410","維康牙體技術所","新北市","板橋區","2","0","2","(02) 8961-1471","新北市板橋區三民路2段正隆巷20號3樓","","https://app.notion.com/p/335dcdaafb2a81e7bc75d4a356081543"
"2Y32010567","創鴻數位牙體技術所","桃園市","桃園區","2","0","2","03-3579666","桃園市桃園區大興西路一段270號14樓","","https://app.notion.com/p/335dcdaafb2a81738043f10441084b80"
"2Y31020167","永明牙體技術所","新北市","三重區","0","2","2","02-2286-5055","新北市三重區自強路3段87巷14號","","https://app.notion.com/p/335dcdaafb2a81d2908af92b7bcbe906"
"2Y32020116","啟鈺牙體技術所","桃園市","中壢區","1","1","2","03-4937865","桃園市中壢區新生路三段381號1樓","","https://app.notion.com/p/335dcdaafb2a81d1a7b6e1d3d5252100"
"2Y31010134","祥仁牙體技術所","新北市","板橋區","0","2","2","02-29660383","新北市板橋區自強新村1-1號1樓","","https://app.notion.com/p/335dcdaafb2a81729b5ef26b5493e18a"
"2Y31010312","澔橋牙體技術所","新北市","板橋區","2","0","2","02-2255-9997","新北市板橋區懷德街181巷2號1樓","","https://app.notion.com/p/335dcdaafb2a81d1842dd0018791cd5e"
"2Y12050029","新研牙體技術所","新竹市","香山區","1","1","2","035384270","新竹市香山區宮口街28巷2弄1號1樓","","https://app.notion.com/p/335dcdaafb2a81dcbd61df4267fc414e"
"2Y31040374","鈦和數位牙體技術所","新北市","中和區","1","1","2","0282276099","新北市中和區建康路174號2樓","","https://app.notion.com/p/335dcdaafb2a811e91acf4576c8e004e"
"2Y01160032","薇風牙體技術所","台北市","北投區","1","1","2","29830007","臺北市北投區中央北路2段323號","","https://app.notion.com/p/335dcdaafb2a816f9696cda3d2686d11"
"2Y01160050","亞齊訢牙體技術所","台北市","北投區","0","2","2","0935002057","臺北市北投區大業路624號","","https://app.notion.com/p/335dcdaafb2a812b8d6ada82d4ff1d7e"
"2Y32040065","翰齡牙體技術所","桃園市","楊梅區","1","1","2","0921087186","桃園市楊梅區益新一街128巷32號5F","","https://app.notion.com/p/335dcdaafb2a814299f6c16e35910ceb"
"2Y01100312","舒服美牙體技術所","台北市","中山區","2","0","2","02-25505042","臺北市中山區民權西路19號8樓","","https://app.notion.com/p/335dcdaafb2a81b8ac34f61d940aba74"
"2Y32100020","國泰牙體技術所","桃園市","平鎮","2","0","2","4918846","桃園市平鎮區新德街197號2樓","","https://app.notion.com/p/335dcdaafb2a8153b993c253d18a6d3a"
"2Y31100035","成泰數位牙體技術所","新北市","淡水區","2","0","2","26216204","新北市淡水區北新路184巷9號1樓","","https://app.notion.com/p/335dcdaafb2a81c29aeddfeb7c8caaf6"
"2Y01120074","松川牙體技術所","台北市","南港區","2","0","2","27838004","臺北市南港區南港路3段225號12樓之1","","https://app.notion.com/p/335dcdaafb2a81e58983d189e188cbfa"
"2Y32010325","京佳牙體技術所","桃園市","桃園區","1","1","2","03-3780910","桃園市桃園區龍安街142之1號7樓","","https://app.notion.com/p/335dcdaafb2a81708981d19c1d5cd0b9"
"2Y32070072","尚翊牙體技術所","桃園市","龜山區","2","0","2","0930663676","桃園市龜山區文化二路34巷14弄29號7樓","公司","https://app.notion.com/p/335dcdaafb2a81efb974c97b8fbcc7fe"
"2Y31130113","誠德牙體技術所","新北市","土城區","1","1","2","32348485","新北市土城區延峯街20號1樓","","https://app.notion.com/p/335dcdaafb2a81f5b4b2d7855287b2ca"
"2Y31060394","舒適美數位牙體技術所","新北市","新莊區","1","1","2","02-85219132","新北市新莊區新北大道2段219號2樓","","https://app.notion.com/p/335dcdaafb2a814dbbb7e826d0a5226c"
"2Y31010081","冠億牙體技術所","新北市","板橋區","0","2","2","02-22596513","新北市板橋區英士路58巷24號1樓","","https://app.notion.com/p/335dcdaafb2a8150a72de3f7bc1babde"
"2Y32040092","台豐牙體技術所","桃園市","楊梅區","1","1","2","03-4816709","桃園市楊梅區裕成路158巷13號1樓","","https://app.notion.com/p/335dcdaafb2a811193c7e157096b2442"
"2Y31090025","雲端數位牙體技術所","新北市","三峽區","2","0","2","02-26741999","新北市三峽區學成路313號3樓之8","","https://app.notion.com/p/335dcdaafb2a81b7996ce9f5ee9c9d2e"
"2Y32020189","完美牙體技術所","桃園市","中壢區","1","1","2","03-4635896","桃園市中壢區長春路243-1號1樓","","https://app.notion.com/p/335dcdaafb2a81958440c14c3edb4b1d"
