處置,會遺失欄位,狀態不一致,群組,保留-名稱,保留-代碼,保留-負責業務,保留-電話,保留-往來,保留-連結,刪除-名稱,刪除-狀態,刪除-負責業務,刪除-電話,刪除-往來,刪除-建檔日,刪除-連結
"A 可直接刪","—","—","和田牙體技術所@臺北市大安區","和田牙體技術所","無","空","02-27411679","—","https://www.notion.so/33cdcdaafb2a81608022ee3278057e20","和田牙體技術所","空","空","無","—","2026-04-02","https://www.notion.so/336dcdaafb2a81c99062fbf7fce4c500"
"A 可直接刪","—","—","鼎田牙體技術所@臺南市東區","鼎田牙體技術所","2Y05320043","空","06-2675698 / (06)2675-698 / 0963-282198","—","https://www.notion.so/335dcdaafb2a8115a848d32e4ebb9ecb","鼎田牙體技術所","空","空","無","—","2026-04-02","https://www.notion.so/336dcdaafb2a81e1a50fd6f61428ee26"
"A 可直接刪","—","—","永興牙體技術所@臺南市北區","永興牙體技術所","2Y05350087","公司","06-2371482","—","https://www.notion.so/335dcdaafb2a8160a466f550ab456a31","永興牙體技術所","空","空","06-2372504","—","2026-04-08","https://www.notion.so/33cdcdaafb2a813d85aee85946e54c7e"
"A 可直接刪","—","—","日升牙體技術所@嘉義縣中埔鄉","日升牙體技術所","2Y40130014","空","05-2308022","—","https://www.notion.so/335dcdaafb2a811b9d37cf4c26154b0e","日升牙體技術所","空","空","無","—","2026-04-02","https://www.notion.so/336dcdaafb2a81be972dc97ac42b5f51"
"A 可直接刪","—","—","良品牙體技術所@新北市樹林區","良品牙體技術所","無","空","無","—","https://www.notion.so/336dcdaafb2a81f784dbdae91224e785","良品牙體技術所","空","空","無","—","2026-04-02","https://www.notion.so/336dcdaafb2a819cb73ce8d7b601c02d"
"A 可直接刪","—","—","盛光牙體技術所@臺北市松山區","盛光牙體技術所","無","公司","無","—","https://www.notion.so/336dcdaafb2a81d0a591c7584ee9bdbd","盛光牙體技術所","空","空","無","—","2026-04-02","https://www.notion.so/336dcdaafb2a813e87c7ca26a0739a03"
"A 可直接刪","—","—","盛光牙體技術所@臺北市松山區","盛光牙體技術所","無","公司","無","—","https://www.notion.so/336dcdaafb2a81d0a591c7584ee9bdbd","盛光牙體技術所","空","空","無","—","2026-04-02","https://www.notion.so/336dcdaafb2a81279dfad8ad3020f2bd"
"B 先補欄位再刪","負責人","—","建宏牙體技術所@臺南市安南區","建宏牙體技術所","無","空","06-2550064","—","https://www.notion.so/33cdcdaafb2a81b3becfc81cd6db3819","建宏牙體技術所","空","空","無","—","2026-04-02","https://www.notion.so/336dcdaafb2a81a69025f698cfcd1d33"
"B 先補欄位再刪","負責人","—","天然牙體技術所@臺南市南區","天然牙體技術所","無","空","06-2633349","—","https://www.notion.so/33cdcdaafb2a819ab254f60cf56ef969","天然牙體技術所","空","空","無","—","2026-04-02","https://www.notion.so/336dcdaafb2a81b0acfdcd1ac002139a"
"B 先補欄位再刪","負責人","—","先進牙體技術所@臺北市中山區","先進牙體技術所","無","空","02-25974700","—","https://www.notion.so/33cdcdaafb2a8158be87ea6c2ef835e6","先進牙體技術所","已歇業","空","無","—","2026-04-02","https://www.notion.so/336dcdaafb2a8124b065fe8f87ba7817"
"B 先補欄位再刪","負責人","—","晉大牙體技術所@高雄市前金區","晉大牙體技術所","無","空","07-8115382 / 0937-329187","—","https://www.notion.so/33cdcdaafb2a816fb2aefd83daafb424","晉大牙體技術所","已歇業","空","無","—","2026-04-02","https://www.notion.so/336dcdaafb2a8135bebdc9722f1af8c3"
"B 先補欄位再刪","負責人","—","立達牙體技術所@臺北市大同區","立達牙體技術所","無","空","02-25576148 0921-761869","—","https://www.notion.so/33cdcdaafb2a818bbebcf4e3ceccd0ff","立達牙體技術所","已歇業","空","無","—","2026-04-02","https://www.notion.so/336dcdaafb2a81a3b096ca1762bcaf39"
"B 先補欄位再刪","負責人","—","永祥牙體技術所@臺南市永康區","永祥牙體技術所","無","空","06-2311878 / 06-2029769","—","https://www.notion.so/33cdcdaafb2a81259b49da53a8bd19d8","永祥牙體技術所","空","空","無","—","2026-04-02","https://www.notion.so/336dcdaafb2a81069b4cfb9a592cdb65"
"B 先補欄位再刪","負責人","—","中興牙體技術所@臺南市中區","中興牙體技術所","無","空","06-2655512","—","https://www.notion.so/33cdcdaafb2a81f18515fe9c3442ccbb","中興牙體技術所","空","空","無","—","2026-04-02","https://www.notion.so/336dcdaafb2a8169b97fd70f16918ac8"
"B 先補欄位再刪","負責人","—","益民牙體技術所@臺南市新營區","益民牙體技術所","無","空","06-6355675","—","https://www.notion.so/33cdcdaafb2a8131a6d0f85286bc79f5","益民牙體技術所","空","空","無","—","2026-04-02","https://www.notion.so/336dcdaafb2a8180ad19c71dc959e3a7"
"B 先補欄位再刪","負責人","—","永祥牙體技術所@臺北市松山區","永祥牙體技術所","無","空","02-27688607","—","https://www.notion.so/33cdcdaafb2a81489d32f8569b864dbd","永祥牙體技術所","空","空","無","—","2026-04-02","https://www.notion.so/336dcdaafb2a8124819be72c9e8fb24f"
"B 先補欄位再刪","負責人","—","西北牙體技術所@臺北市北投區","西北牙體技術所","無","空","02-28233003","—","https://www.notion.so/33cdcdaafb2a817798b5fe75d554c60a","西北牙體技術所","已歇業","空","無","—","2026-04-02","https://www.notion.so/336dcdaafb2a813d91f0fd54515377ce"
"B 先補欄位再刪","電話","—","順吉牙體技術所@臺南市中區","順吉牙體技術所","無","空","無","visits1","https://www.notion.so/336dcdaafb2a81d49cf8da8bd9ee583f","順吉牙體技術所","空","空","06-2219698","—","2026-04-08","https://www.notion.so/33cdcdaafb2a81d6a5bce45fe0e8b0f7"
"B 先補欄位再刪","負責人","—","新雅牙體技術所@臺東縣台東市","新雅牙體技術所","無","空","08-9238433 / 08-9238433 / 0916-418585","—","https://www.notion.so/33cdcdaafb2a817aa356f7c145c50e92","新雅牙體技術所","空","空","無","—","2026-04-02","https://www.notion.so/336dcdaafb2a81769e5fc1adf9ec8680"
"B 先補欄位再刪","電話","—","大安牙體技術所@臺北市士林區","大安牙體技術所","無","空","無","visits1","https://www.notion.so/336dcdaafb2a81858537f9c1a760595c","大安牙體技術所","空","空","0938-067872","—","2026-04-08","https://www.notion.so/33cdcdaafb2a8131ab02c37f425bf410"
"B 先補欄位再刪","負責人","—","友信牙體技術所@臺中市梧棲區","友信牙體技術所","無","空","04-26577012 / 0933-170897","—","https://www.notion.so/33cdcdaafb2a813681b9f90b5781b5ef","友信牙體技術所","空","空","無","—","2026-04-02","https://www.notion.so/336dcdaafb2a81b3be65e0debcf0cf0f"
"B 先補欄位再刪","負責人","—","第一牙體技術所@臺北市中山區","第一牙體技術所","無","空","02-2521-0525.  02-2543-4053","—","https://www.notion.so/33cdcdaafb2a812cb286f8b1523afdcb","第一牙體技術所","空","空","無","—","2026-04-02","https://www.notion.so/336dcdaafb2a8198bb61c3ce5ccffe84"
"B 先補欄位再刪","負責人","—","日盛牙體技術所@臺南市安南區","日盛牙體技術所","無","空","06-2802112","—","https://www.notion.so/33cdcdaafb2a8168ae81e7809291c60a","日盛牙體技術所","空","空","無","—","2026-04-02","https://www.notion.so/336dcdaafb2a81f2b949ecdaef9d3dfd"
"B 先補欄位再刪","負責人","—","中華牙體技術所@臺南市東區","中華牙體技術所","無","空","06-2691909","—","https://www.notion.so/33cdcdaafb2a81538d7bc1efe9ce1073","中華牙體技術所","空","空","無","—","2026-04-02","https://www.notion.so/336dcdaafb2a81809980f843417fbce9"
"B 先補欄位再刪","負責人","—","永昇牙體技術所@臺北市士林區","永昇牙體技術所","無","空","02-28356919","—","https://www.notion.so/33cdcdaafb2a8108a885eba936ab28b3","永昇牙體技術所","空","空","無","—","2026-04-02","https://www.notion.so/336dcdaafb2a818786c8d0e33fdfe22f"
"B 先補欄位再刪","負責人","—","永興牙體技術所@臺南市北區","永興牙體技術所","2Y05350087","公司","06-2371482","—","https://www.notion.so/335dcdaafb2a8160a466f550ab456a31","永興牙體技術所","空","空","無","—","2026-04-02","https://www.notion.so/336dcdaafb2a8100a808edca4b7a0356"
"B 先補欄位再刪","負責人","—","永昇牙體技術所@臺南市柳營區","永昇牙體技術所","無","空","06-6230754","—","https://www.notion.so/33cdcdaafb2a8178a07ed4b7550cc920","永昇牙體技術所","空","空","無","—","2026-04-02","https://www.notion.so/336dcdaafb2a81a9b67de0f437731e92"
"B 先補欄位再刪","電話","—","冠瑋牙體技術所@雲林縣台西鄉","冠瑋牙體技術所","無","公司","無","—","https://www.notion.so/336dcdaafb2a8164bff6f156e66d3157","冠瑋牙體技術所","空","空","(05)690-2056 0937-293712","—","2026-04-08","https://www.notion.so/33cdcdaafb2a8171bb09d21dd02635b1"
"B 先補欄位再刪","負責人","—","精美牙體技術所@臺中市南屯區","精美牙體技術所","無","空","04-24713673","visits1","https://www.notion.so/33cdcdaafb2a81a8bc6be446735a075e","精美牙體技術所","空","空","無","—","2026-04-02","https://www.notion.so/336dcdaafb2a81ac9de8e630ecf1844f"
"B 先補欄位再刪","電話","—","永吉牙體技術所@臺北市南港區","永吉牙體技術所","無","Edward","無","—","https://www.notion.so/336dcdaafb2a816dbcd2e422afdffcc6","永吉牙體技術所","空","空","02-27853188 0935-511539","—","2026-04-08","https://www.notion.so/33cdcdaafb2a8138bf47fe21f36101a3"
"B 先補欄位再刪","負責人","—","吉田牙體技術所@臺北市中山區","吉田牙體技術所","無","空","02-27168104 / 02-27166750","visits1","https://www.notion.so/33cdcdaafb2a81ee968fdcf6e1fd5fe6","吉田牙體技術所","空","空","無","—","2026-04-02","https://www.notion.so/336dcdaafb2a81c587c5e8fd91e599dc"
"B 先補欄位再刪","負責業務/負責人","—","全能牙體技術所@高雄市苓雅區","全能牙體技術所","2Y07350085","空","07-3325698","—","https://www.notion.so/335dcdaafb2a81d8b48cd4cba5a27c86","全能牙體技術所","空","公司","無","—","2026-04-02","https://www.notion.so/336dcdaafb2a81b7b939e443603e7ea2"
"B 先補欄位再刪","負責人","—","竑騰牙體技術所@嘉義縣新港鄉","竑騰牙體技術所","2Y40060044","空","05-3748177","—","https://www.notion.so/335dcdaafb2a81749716f4ef8a0839ee","竑騰牙體技術所","空","空","無","—","2026-04-02","https://www.notion.so/336dcdaafb2a8194be52d699ea66c60c"
"B 先補欄位再刪","負責人","—","六禾牙體技術所@嘉義市西區","六禾牙體技術所","2Y22020104","空","2810288","—","https://www.notion.so/335dcdaafb2a81acb63dfe5241b80fa3","六禾牙體技術所","空","空","無","—","2026-04-02","https://www.notion.so/336dcdaafb2a812cb123e1991d74d680"
"B 先補欄位再刪","負責業務/負責人","—","明昌牙體技術所@嘉義市西區","明昌牙體技術所","2Y22020042","空","05-2252345","—","https://www.notion.so/335dcdaafb2a81a1985bca85b9a67436","明昌牙體技術所","空","Amy","無","—","2026-04-02","https://www.notion.so/336dcdaafb2a811d87c9e8988b586240"
"B 先補欄位再刪","負責人","—","杏昌牙體技術所@南投縣草屯鎮","杏昌牙體技術所","2Y38030036","公司","049-2301467","—","https://www.notion.so/335dcdaafb2a8196b193d1ec59749b10","杏昌牙體技術所","空","Edward","無","—","2026-04-02","https://www.notion.so/336dcdaafb2a81bbaf92d0ae73df14c9"
"B 先補欄位再刪","負責業務/負責人","—","維智牙體技術所@彰化縣彰化市","維智牙體技術所","2Y37010012","空","04-7385312","—","https://www.notion.so/335dcdaafb2a81e9ab4dea3569d9a122","維智牙體技術所","空","盤商","無","—","2026-04-02","https://www.notion.so/336dcdaafb2a81b19f6be8661c0250d0"
"B 先補欄位再刪","負責業務/負責人","—","呈宇牙體技術所@臺中市大雅區","呈宇牙體技術所","2Y03100098","空","0988181416","—","https://www.notion.so/335dcdaafb2a81fcb292fc8dfa262346","呈宇牙體技術所","空","公司","無","—","2026-04-02","https://www.notion.so/336dcdaafb2a81c480d4c60e80959176"
"B 先補欄位再刪","負責人","—","富山牙體技術所@臺中市北屯區","富山牙體技術所","2Y03290015","空","04-24362777","—","https://www.notion.so/335dcdaafb2a81ac801de44edaf344de","富山牙體技術所","空","空","無","—","2026-04-02","https://www.notion.so/336dcdaafb2a811ab1e6cf54d9aaa600"
"B 先補欄位再刪","負責人","—","至將牙體技術所@臺中市東區","至將牙體技術所","2Y03230117","Edward","04-22121774","—","https://www.notion.so/335dcdaafb2a81c8a3fdfe16a5338332","至將牙體技術所","空","盤商","無","—","2026-04-02","https://www.notion.so/336dcdaafb2a81879ea2dedc951b33f6"
"B 先補欄位再刪","負責人","—","翰齡牙體技術所@桃園市楊梅區","翰齡牙體技術所","2Y32040065","空","0921087186","—","https://www.notion.so/335dcdaafb2a814299f6c16e35910ceb","翰齡牙體技術所","空","空","無","—","2026-04-02","https://www.notion.so/336dcdaafb2a8175ae18ecad4a2a8182"
"B 先補欄位再刪","負責人","—","永豐牙體技術所@桃園市中壢區","永豐牙體技術所","2Y32020054","空","(03)4362258","—","https://www.notion.so/335dcdaafb2a8123a1a3d7180edafc05","永豐牙體技術所","空","空","無","—","2026-04-02","https://www.notion.so/336dcdaafb2a8140a865db4c30349c15"
"B 先補欄位再刪","負責業務/負責人","—","志冠牙體技術所@新竹市北區","志冠牙體技術所","2Y12040023","空","03-5343952","—","https://www.notion.so/335dcdaafb2a81709791ddfae027ac42","志冠牙體技術所","空","盤商","無","—","2026-04-02","https://www.notion.so/336dcdaafb2a81a4b361e9d6d520549a"
"B 先補欄位再刪","負責業務/負責人","—","冠宇牙體技術所@新北市新莊區","冠宇牙體技術所","2Y31060116","空","29942557","—","https://www.notion.so/335dcdaafb2a8165bd56ed65e2d5686a","冠宇牙體技術所","空","Edward","無","—","2026-04-02","https://www.notion.so/336dcdaafb2a8161b075e2a42858e502"
"B 先補欄位再刪","負責人","—","禾京牙體技術所@新北市汐止區","禾京牙體技術所","2Y31110102","Hank","0978605198","visits2","https://www.notion.so/335dcdaafb2a81d3b77fcb2135f454bb","禾京牙體技術所","空","Hank","無","—","2026-04-02","https://www.notion.so/336dcdaafb2a81bbba09de420084fa2d"
"B 先補欄位再刪","負責人","—","德合牙體技術所@臺北市內湖區","德合牙體技術所","2Y01110112","Hank","27926849","—","https://www.notion.so/335dcdaafb2a81f5bfbed88218b6ed6c","德合牙體技術所","空","Hank","無","—","2026-04-02","https://www.notion.so/336dcdaafb2a81188324d220e4b09cfc"
"B 先補欄位再刪","負責人","—","上恩牙體技術所@臺北市大安區","上恩牙體技術所","2Y01020088","空","23250377","—","https://www.notion.so/335dcdaafb2a8120a817cf77a7ea8ef9","上恩牙體技術所","空","空","無","—","2026-04-02","https://www.notion.so/336dcdaafb2a81edaefde86b11f8034f"
"B 先補欄位再刪","電話/負責業務","開業/停業","龍安牙體技術所@臺北市中山區","龍安牙體技術所","無","空","無","visits4","https://www.notion.so/336dcdaafb2a814c8cd3c4c5c7b34e6b","龍安牙體技術所","開業","Eason","02-25019263 / 02-25017981 / 0920-20418","—","2026-04-02","https://www.notion.so/336dcdaafb2a815186dad133fc7031e7"
