名稱,動作,內容,連結
"建宏牙體技術所","fill","負責人=鄭清文先生","https://www.notion.so/33cdcdaafb2a81b3becfc81cd6db3819"
"建宏牙體技術所","archive","@臺南市安南區 建檔2026-04-02｜保留 https://www.notion.so/33cdcdaafb2a81b3becfc81cd6db3819","https://www.notion.so/336dcdaafb2a81a69025f698cfcd1d33"
"天然牙體技術所","fill","負責人=劉方淵先生","https://www.notion.so/33cdcdaafb2a819ab254f60cf56ef969"
"天然牙體技術所","archive","@臺南市南區 建檔2026-04-02｜保留 https://www.notion.so/33cdcdaafb2a819ab254f60cf56ef969","https://www.notion.so/336dcdaafb2a81b0acfdcd1ac002139a"
"先進牙體技術所","fill","負責人=李郁明先生","https://www.notion.so/33cdcdaafb2a8158be87ea6c2ef835e6"
"先進牙體技術所","archive","@臺北市中山區 建檔2026-04-02｜保留 https://www.notion.so/33cdcdaafb2a8158be87ea6c2ef835e6","https://www.notion.so/336dcdaafb2a8124b065fe8f87ba7817"
"晉大牙體技術所","fill","負責人=康榮男先生","https://www.notion.so/33cdcdaafb2a816fb2aefd83daafb424"
"晉大牙體技術所","archive","@高雄市前金區 建檔2026-04-02｜保留 https://www.notion.so/33cdcdaafb2a816fb2aefd83daafb424","https://www.notion.so/336dcdaafb2a8135bebdc9722f1af8c3"
"立達牙體技術所","fill","負責人=何添明先生","https://www.notion.so/33cdcdaafb2a818bbebcf4e3ceccd0ff"
"立達牙體技術所","archive","@臺北市大同區 建檔2026-04-02｜保留 https://www.notion.so/33cdcdaafb2a818bbebcf4e3ceccd0ff","https://www.notion.so/336dcdaafb2a81a3b096ca1762bcaf39"
"永祥牙體技術所","fill","負責人=黃榮宗先生","https://www.notion.so/33cdcdaafb2a81259b49da53a8bd19d8"
"永祥牙體技術所","archive","@臺南市永康區 建檔2026-04-02｜保留 https://www.notion.so/33cdcdaafb2a81259b49da53a8bd19d8","https://www.notion.so/336dcdaafb2a81069b4cfb9a592cdb65"
"中興牙體技術所","fill","負責人=黃治國先生","https://www.notion.so/33cdcdaafb2a81f18515fe9c3442ccbb"
"中興牙體技術所","archive","@臺南市中區 建檔2026-04-02｜保留 https://www.notion.so/33cdcdaafb2a81f18515fe9c3442ccbb","https://www.notion.so/336dcdaafb2a8169b97fd70f16918ac8"
"益民牙體技術所","fill","負責人=李志銳先生","https://www.notion.so/33cdcdaafb2a8131a6d0f85286bc79f5"
"益民牙體技術所","archive","@臺南市新營區 建檔2026-04-02｜保留 https://www.notion.so/33cdcdaafb2a8131a6d0f85286bc79f5","https://www.notion.so/336dcdaafb2a8180ad19c71dc959e3a7"
"永祥牙體技術所","fill","負責人=陳財本先生","https://www.notion.so/33cdcdaafb2a81489d32f8569b864dbd"
"永祥牙體技術所","archive","@臺北市松山區 建檔2026-04-02｜保留 https://www.notion.so/33cdcdaafb2a81489d32f8569b864dbd","https://www.notion.so/336dcdaafb2a8124819be72c9e8fb24f"
"西北牙體技術所","fill","負責人=闕先生","https://www.notion.so/33cdcdaafb2a817798b5fe75d554c60a"
"西北牙體技術所","archive","@臺北市北投區 建檔2026-04-02｜保留 https://www.notion.so/33cdcdaafb2a817798b5fe75d554c60a","https://www.notion.so/336dcdaafb2a813d91f0fd54515377ce"
"順吉牙體技術所","fill","電話=06-2219698","https://www.notion.so/336dcdaafb2a81d49cf8da8bd9ee583f"
"順吉牙體技術所","archive","@臺南市中區 建檔2026-04-08｜保留 https://www.notion.so/336dcdaafb2a81d49cf8da8bd9ee583f","https://www.notion.so/33cdcdaafb2a81d6a5bce45fe0e8b0f7"
"新雅牙體技術所","fill","負責人=張維民先生","https://www.notion.so/33cdcdaafb2a817aa356f7c145c50e92"
"新雅牙體技術所","archive","@臺東縣台東市 建檔2026-04-02｜保留 https://www.notion.so/33cdcdaafb2a817aa356f7c145c50e92","https://www.notion.so/336dcdaafb2a81769e5fc1adf9ec8680"
"大安牙體技術所","fill","電話=0938-067872","https://www.notion.so/336dcdaafb2a81858537f9c1a760595c"
"大安牙體技術所","archive","@臺北市士林區 建檔2026-04-08｜保留 https://www.notion.so/336dcdaafb2a81858537f9c1a760595c","https://www.notion.so/33cdcdaafb2a8131ab02c37f425bf410"
"友信牙體技術所","fill","負責人=吳先生","https://www.notion.so/33cdcdaafb2a813681b9f90b5781b5ef"
"友信牙體技術所","archive","@臺中市梧棲區 建檔2026-04-02｜保留 https://www.notion.so/33cdcdaafb2a813681b9f90b5781b5ef","https://www.notion.so/336dcdaafb2a81b3be65e0debcf0cf0f"
"第一牙體技術所","fill","負責人=技術士-王凱平","https://www.notion.so/33cdcdaafb2a812cb286f8b1523afdcb"
"第一牙體技術所","archive","@臺北市中山區 建檔2026-04-02｜保留 https://www.notion.so/33cdcdaafb2a812cb286f8b1523afdcb","https://www.notion.so/336dcdaafb2a8198bb61c3ce5ccffe84"
"日盛牙體技術所","fill","負責人=宋子竹先生","https://www.notion.so/33cdcdaafb2a8168ae81e7809291c60a"
"日盛牙體技術所","archive","@臺南市安南區 建檔2026-04-02｜保留 https://www.notion.so/33cdcdaafb2a8168ae81e7809291c60a","https://www.notion.so/336dcdaafb2a81f2b949ecdaef9d3dfd"
"中華牙體技術所","fill","負責人=黃然和先生","https://www.notion.so/33cdcdaafb2a81538d7bc1efe9ce1073"
"中華牙體技術所","archive","@臺南市東區 建檔2026-04-02｜保留 https://www.notion.so/33cdcdaafb2a81538d7bc1efe9ce1073","https://www.notion.so/336dcdaafb2a81809980f843417fbce9"
"永昇牙體技術所","fill","負責人=吳先生","https://www.notion.so/33cdcdaafb2a8108a885eba936ab28b3"
"永昇牙體技術所","archive","@臺北市士林區 建檔2026-04-02｜保留 https://www.notion.so/33cdcdaafb2a8108a885eba936ab28b3","https://www.notion.so/336dcdaafb2a818786c8d0e33fdfe22f"
"永興牙體技術所","fill","負責人=呂洫松先生","https://www.notion.so/335dcdaafb2a8160a466f550ab456a31"
"永興牙體技術所","archive","@臺南市北區 建檔2026-04-02｜保留 https://www.notion.so/335dcdaafb2a8160a466f550ab456a31","https://www.notion.so/336dcdaafb2a8100a808edca4b7a0356"
"永昇牙體技術所","fill","負責人=王瑞賢先生","https://www.notion.so/33cdcdaafb2a8178a07ed4b7550cc920"
"永昇牙體技術所","archive","@臺南市柳營區 建檔2026-04-02｜保留 https://www.notion.so/33cdcdaafb2a8178a07ed4b7550cc920","https://www.notion.so/336dcdaafb2a81a9b67de0f437731e92"
"冠瑋牙體技術所","fill","電話=(05)690-2056 0937-293712","https://www.notion.so/336dcdaafb2a8164bff6f156e66d3157"
"冠瑋牙體技術所","archive","@雲林縣台西鄉 建檔2026-04-08｜保留 https://www.notion.so/336dcdaafb2a8164bff6f156e66d3157","https://www.notion.so/33cdcdaafb2a8171bb09d21dd02635b1"
"精美牙體技術所","fill","負責人=葉啟源先生","https://www.notion.so/33cdcdaafb2a81a8bc6be446735a075e"
"精美牙體技術所","archive","@臺中市南屯區 建檔2026-04-02｜保留 https://www.notion.so/33cdcdaafb2a81a8bc6be446735a075e","https://www.notion.so/336dcdaafb2a81ac9de8e630ecf1844f"
"永吉牙體技術所","fill","電話=02-27853188 0935-511539","https://www.notion.so/336dcdaafb2a816dbcd2e422afdffcc6"
"永吉牙體技術所","archive","@臺北市南港區 建檔2026-04-08｜保留 https://www.notion.so/336dcdaafb2a816dbcd2e422afdffcc6","https://www.notion.so/33cdcdaafb2a8138bf47fe21f36101a3"
"吉田牙體技術所","fill","負責人=陳順良先生","https://www.notion.so/33cdcdaafb2a81ee968fdcf6e1fd5fe6"
"吉田牙體技術所","archive","@臺北市中山區 建檔2026-04-02｜保留 https://www.notion.so/33cdcdaafb2a81ee968fdcf6e1fd5fe6","https://www.notion.so/336dcdaafb2a81c587c5e8fd91e599dc"
"全能牙體技術所","fill","負責業務=公司 | 負責人=孫靖翔先生、孫先生","https://www.notion.so/335dcdaafb2a81d8b48cd4cba5a27c86"
"全能牙體技術所","archive","@高雄市苓雅區 建檔2026-04-02｜保留 https://www.notion.so/335dcdaafb2a81d8b48cd4cba5a27c86","https://www.notion.so/336dcdaafb2a81b7b939e443603e7ea2"
"竑騰牙體技術所","fill","負責人=吳俊儀先生","https://www.notion.so/335dcdaafb2a81749716f4ef8a0839ee"
"竑騰牙體技術所","archive","@嘉義縣新港鄉 建檔2026-04-02｜保留 https://www.notion.so/335dcdaafb2a81749716f4ef8a0839ee","https://www.notion.so/336dcdaafb2a8194be52d699ea66c60c"
