日期,業務,客戶,客戶反應,拜訪內容,建檔時間,PageID
"2026-09-08","Gus","宏宇牙體技術所","要求報價","遞送中秋禮盒，已送達
告知老闆鋯塊合約片數已達，老闆把庫存用完再重新簽訂
氧化鋯目前較硬的使用Argen，推zz鋯塊，老闆覺得價格ok，之後會考慮替換
對zz比色版有興趣，需提供報價
-公司會議
-前往郵局郵寄cobra","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-8188-883f-e703e27fe170"
"2026-09-08","Sam","澄恩","","推薦外染色lunar。","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-8170-8aaa-fb02857b42fc"
"2026-09-08","Sam","久源","","推薦外染色lunar。","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-8166-a476-ed2e433bf034"
"2026-09-08","Sam","技佳","","帳單。","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-818a-8466-e76c9e0eabd8"
"2026-09-08","Sam","登緹","","送禮，帳單。","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-818c-b211-de75ca315b9b"
"2026-09-08","Sam","立唯","","收款，介紹lunar。","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-813c-b4b6-c4d22a4280c4"
"2026-09-08","Sam","曉燁","","送貨。","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-81bb-81cd-ca15d2cd00af"
"2026-09-08","Amy","米羅牙醫","確認下單","遞送Booster內染液，關心快燒爐訂購，技師和院長討論中","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-81fa-a919-f2ea06f0d67f"
"2026-09-08","Amy","昱佑牙體技術所","同意試用","遞送中秋禮盒，提供LUNAR GLAZE試用，介紹Rosetta玻璃陶瓷，技師會再和老闆討論","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-81c4-8317-fe4f84a9902a"
"2026-09-08","Amy","康新牙體技術所","同意試用","關心近期設備使用狀況，提醒本週六比色、外染課程，提供LUNAR GLAZE試用，介紹Rosetta，目前貼片量還不多，先消化庫存","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-8106-bb94-ebf5fc519224"
"2026-09-08","Amy","高新牙醫","","遞送中秋禮盒、Komax 集塵系統DM","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-8102-9166-ff581bd4c7d1"
"2026-09-08","Amy","遠揚牙醫","要求報價","Demo SORINO集塵系統，已提供報價單，明日追蹤","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-81f7-a1f7-c59153ab1afa"
